id,level,source_page,section,entry_type,word,article,plural,word_type,verb_present,verb_perfect,translation_en,translation_tr,translation_ru,translation_uk,translation_fa,translation_ar,difficulty,category_id,example_de
11,A2,5,anweisungssprache,section_title,Anweisungssprache,die,,Noun,,,language of instructions,talimat dili,язык инструкций,мова інструкцій,زبان دستورالعمل‌ها,لغة التعليمات,10,13,"Die Anweisungssprache erklärt, was zu tun ist."
12,A2,5,anweisungssprache,main,Antwortbogen,der,-,Noun,,,answer sheet,cevap kağıdı,лист ответов,бланк відповідей,برگه پاسخ,ورقة الإجابات,10,13,Bitte fülle den Antwortbogen aus.
13,A2,5,anweisungssprache,main,Aufgabe,die,-n,Noun,,,task / exercise,görev / alıştırma,задание / упражнение,завдання,تمرین / وظیفه,مهمة / تمرين,6,13,Die Aufgabe ist heute nicht schwer.
14,A2,5,anweisungssprache,main,Beispiel,das,-e,Noun,,,example,örnek,пример,приклад,مثال,مثال,3,13,Kannst du mir ein Beispiel geben?
15,A2,5,anweisungssprache,main,Durchsage,die,-n,Noun,,,announcement,duyuru,объявление,оголошення,اطلاعیه,إعلان,9,13,"Die Durchsage sagt, wann der Zug kommt."
16,A2,5,anweisungssprache,main,Lösung,die,-en,Noun,,,solution / answer,çözüm / cevap,решение / ответ,розв'язок / відповідь,پاسخ,حل / إجابة,5,13,Die Lösung steht am Ende des Tests.
17,A2,5,anweisungssprache,main,markieren,,,Verb,,,to mark,işaretlemek,отмечать,позначати,علامت‌زدن,يضع علامة,7,13,Markiere das richtige Wort im Text.
18,A2,5,anweisungssprache,main,Prüfer,der,-,Noun,,,examiner (male),sınav görevlisi (erkek),экзаменатор (муж.),екзаменатор (чол.),ممتحن (مرد),ممتحِن (مذكر),5,13,Der Prüfer stellt Fragen zur Prüfung.
19,A2,5,anweisungssprache,sub,Prüferin,die,-nen,Noun,,,examiner (female),sınav görevlisi (kadın),экзаменатор (жен.),екзаменаторка,ممتحن (زن),ممتحِنة (مؤنث),6,13,Die Prüferin bewertet die Antworten genau.
20,A2,5,anweisungssprache,main,Prüfung,die,-en,Noun,,,exam / test,sınav / test,экзамен / тест,іспит / тест,آزمون / امتحان,امتحان / اختبار,6,13,Die Prüfung beginnt morgen um neun Uhr.
21,A2,5,anweisungssprache,main,Punkt,der,-e,Noun,,,point,puan,пункт,пункт,نقطه,نقطة,2,13,Ich habe drei Punkte im Spiel bekommen.
22,A2,5,anweisungssprache,main,Teil,der,-e,Noun,,,part,bölüm / kısım,часть,частина,قسمت,جزء,1,13,Im zweiten Teil sind fünf Fragen.
23,A2,5,anweisungssprache,main,Test,der,-s,Noun,,,test,test,тест,тест,تست,اختبار,1,13,Wir haben heute einen Test in der Schule.
24,A2,5,anweisungssprache,main,Text,der,-e,Noun,,,text,metin,текст,текст,متن,نص,1,13,Der Text ist kurz und einfach zu lesen.
25,A2,5,anweisungssprache,main,Wörterbuch,das,¨-er,Noun,,,dictionary,sözlük,словарь,словник,فرهنگ لغت,قاموس,10,13,Ich suche das Wort im Wörterbuch.
26,A2,5,berufe,section_title,Beruf,der,-e,Noun,,,profession / job,meslek / iş,профессия / работа,професія / робота,حرفه / شغل,مهنة / وظيفة,5,8,Mein Beruf ist Koch in einem Restaurant.
27,A2,5,berufe,main,Angestellte,der/die,-n,Noun,,,employee / salaried worker,çalışan / memur,сотрудник / служащий,співробітник,کارمند,موظف / عامل براتب,10,8,Die Angestellte arbeitet jeden Tag im Büro.
28,A2,5,berufe,main,Arzt,der,¨-e,Noun,,,doctor (male),doktor (erkek),врач (муж.),лікар,پزشک (مرد),طبيب (مذكر),4,8,Der Arzt untersucht den kranken Mann.
29,A2,5,berufe,sub,Ärztin,die,-nen,Noun,,,doctor (female),doktor (kadın),врач (жен.),лікарка,پزشک (زن),طبيبة (مؤنث),5,8,Die Ärztin hilft dem Kind im Krankenhaus.
30,A2,5,berufe,main,Auszubildende,der/die,-n,Noun,,,trainee / apprentice,çırak / stajyer,стажёр / ученик,стажер,کارآموز,متدرب / متدربة,10,8,Die Auszubildende lernt in der Firma das Handwerk.
31,A2,5,berufe,main,Autor,der,-en,Noun,,,author (male),yazar (erkek),автор (муж.),автор,نویسنده (مرد),مؤلف (مذكر),5,8,Der Autor schreibt ein neues Buch.
32,A2,5,berufe,sub,Autorin,die,-nen,Noun,,,author (female),yazar (kadın),автор (жен.),авторка,نویسنده (زن),مؤلفة (مؤنث),6,8,Die Autorin liest aus ihrem Roman.
33,A2,5,berufe,main,Babysitter,der,-,Noun,,,babysitter,bebek bakıcısı,няня,няня,پرستار بچه,جليس أطفال,7,8,Der Babysitter passt auf die Kinder auf.
34,A2,5,berufe,main,Bäcker,der,-,Noun,,,baker (male),fırıncı (erkek),пекарь (муж.),пекар,نانوا (مرد),خبّاز (مذكر),5,8,Der Bäcker bäckt frisches Brot am Morgen.
35,A2,5,berufe,sub,Bäckerin,die,-nen,Noun,,,baker (female),fırıncı (kadın),пекарь (жен.),пекарка,نانوا (زن),خبّازة (مؤنث),6,8,Die Bäckerin verkauft Brötchen in der Bäckerei.
36,A2,5,berufe,main,Doktor,der,-en,Noun,,,doctor / PhD (male),doktor (erkek),доктор / кандидат наук (муж.),доктор,دکتر (مرد),دكتور / حامل شهادة الدكتوراه (مذكر),3,8,Der Doktor hat an der Universität studiert.
37,A2,5,berufe,sub,Doktorin,die,-nen,Noun,,,doctor / PhD (female),doktor (kadın),доктор / кандидат наук (жен.),докторка,دکتر (زن),دكتورة / حاملة شهادة الدكتوراه (مؤنث),6,8,Die Doktorin arbeitet in einem Labor.
38,A2,5,berufe,main,Fahrer,der,-,Noun,,,driver (male),şoför (erkek),водитель (муж.),водій,راننده (مرد),سائق (مذكر),5,8,Der Fahrer fährt den Bus zur Arbeit.
39,A2,5,berufe,sub,Fahrerin,die,-nen,Noun,,,driver (female),şoför (kadın),водитель (жен.),водійка,راننده (زن),سائقة (مؤنث),6,8,Die Fahrerin lenkt das Auto sicher.
40,A2,5,berufe,main,Friseur,der,-e,Noun,,,hairdresser (male),kuaför (erkek),парикмахер (муж.),перукар,آرایشگر (مرد),حلّاق (مذكر),6,8,Der Friseur schneidet mir die Haare.
41,A2,5,berufe,sub,Friseurin,die,-nen,Noun,,,hairdresser (female),kuaför (kadın),парикмахер (жен.),перукарка,آرایشگر (زن),حلّاقة (مؤنث),7,8,Die Friseurin färbt meine Haare bunt.
42,A2,5,berufe,main,Handwerker,der,-,Noun,,,craftsman / tradesperson (male),zanaatkar (erkek),ремесленник / мастер (муж.),ремісник,صنعتگر / استاد کار (مرد),حرفي / عامل مهني (مذكر),10,8,Der Handwerker repariert das kaputte Fenster.
43,A2,5,berufe,sub,Handwerkerin,die,-nen,Noun,,,craftswoman / tradesperson (female),zanaatkar (kadın),ремесленница / мастер (жен.),ремісниця,صنعتگر (زن),حرفية / عاملة مهنية (مؤنث),10,8,Die Handwerkerin streicht die Wohnzimmerwand.
44,A2,5,berufe,main,Hausmann,der,¨-er,Noun,,,househusband,ev erkeği,домохозяин,домогосподар,مرد خانه‌دار,ربّ المنزل,6,8,Der Hausmann bleibt zu Hause und kocht.
45,A2,5,berufe,sub,Hausfrau,die,-en,Noun,,,housewife,ev kadını,домохозяйка,домогосподарка,خانه‌دار,ربّة المنزل,6,8,Die Hausfrau kümmert sich um das Haus.
46,A2,5,berufe,main,Journalist,der,-en,Noun,,,journalist (male),gazeteci (erkek),журналист (муж.),журналіст,روزنامه‌نگار (مرد),صحفي (مذكر),10,8,Der Journalist schreibt einen Zeitungsartikel.
47,A2,5,berufe,sub,Journalistin,die,-nen,Noun,,,journalist (female),gazeteci (kadın),журналист (жен.),журналістка,روزنامه‌نگار (زن),صحفية (مؤنث),10,8,Die Journalistin macht ein Interview mit dem Politiker.
48,A2,5,berufe,main,Kaufmann,der,Kaufleute,Noun,,,businessman / merchant (male),tüccar / işadamı,бизнесмен / торговец (муж.),підприємець,تاجر / بازرگان (مرد),رجل أعمال / تاجر (مذكر),9,8,Der Kaufmann verkauft Waren im Geschäft.
49,A2,5,berufe,sub,Kauffrau,die,-en,Noun,,,businesswoman / merchant (female),iş kadını,бизнесвумен / торговец (жен.),підприємиця,تاجر (زن),سيدة أعمال / تاجرة (مؤنث),9,8,Die Kauffrau berät Kunden freundlich.
50,A2,5,berufe,main,Kellner,der,-,Noun,,,waiter,garson,официант,офіціант,گارسون / پیشخدمت,نادل,6,8,Der Kellner bringt das Essen an den Tisch.
51,A2,5,berufe,sub,Kellnerin,die,-nen,Noun,,,waitress,garson (kadın),официантка,офіціантка,گارسون (زن),نادلة,7,8,Die Kellnerin serviert Kaffee.
52,A2,5,berufe,main,Koch,der,¨-e,Noun,,,cook / chef (male),aşçı / şef (erkek),повар / шеф-повар (муж.),кухар,آشپز (مرد),طاهٍ / طبّاخ (مذكر),1,8,Der Koch bereitet das Abendessen zu.
53,A2,5,berufe,sub,Köchin,die,-nen,Noun,,,cook / chef (female),aşçı (kadın),повар / шеф-повар (жен.),кухарка,آشپز (زن),طاهية / طبّاخة (مؤنث),5,8,Die Köchin probiert die Suppe.
54,A2,5,berufe,main,Krankenpfleger,der,-,Noun,,,male nurse,erkek hemşire,медбрат (муж.),медбрат,پرستار (مرد),ممرض (مذكر),10,8,Der Krankenpfleger hilft dem Patienten beim Gehen.
55,A2,5,berufe,sub,Krankenschwester,die,-n,Noun,,,nurse,hemşire,медсестра,медсестра,پرستار,ممرضة,10,8,Die Krankenschwester gibt dem Patienten ein Medikament.
56,A2,5,berufe,main,Künstler,der,-,Noun,,,artist (male),sanatçı (erkek),художник (муж.),художник,هنرمند (مرد),فنان (مذكر),6,8,Der Künstler malt ein großes Bild.
57,A2,5,berufe,sub,Künstlerin,die,-nen,Noun,,,artist (female),sanatçı (kadın),художница (жен.),художниця,هنرمند (زن),فنانة (مؤنث),7,8,Die Künstlerin zeigt ihre Bilder in einer Ausstellung.
58,A2,5,berufe,main,Lehrer,der,-,Noun,,,teacher (male),öğretmen (erkek),учитель (муж.),вчитель,معلم (مرد),معلم (مذكر),3,8,Der Lehrer erklärt die Grammatik.
59,A2,5,berufe,sub,Lehrerin,die,-nen,Noun,,,teacher (female),öğretmen (kadın),учительница (жен.),вчителька,معلم (زن),معلمة (مؤنث),3,8,Die Lehrerin schreibt die Hausaufgaben an die Tafel.
60,A2,5,berufe,main,Mechaniker,der,-,Noun,,,mechanic (male),tamirci (erkek),механик (муж.),механік (чол.),مکانیک (مرد),ميكانيكي (مذكر),7,8,Der Mechaniker repariert das Auto in der Werkstatt.
61,A2,5,berufe,sub,Mechanikerin,die,-nen,Noun,,,mechanic (female),tamirci (kadın),механик (жен.),механік (ж.),مکانیک (زن),ميكانيكية (مؤنث),7,8,Die Mechanikerin prüft das Motorrad.
62,A2,5,berufe,main,Model,das,-s,Noun,,,model,model,модель,модель,مدل,عارض أزياء,2,8,Das Model steht für ein Foto auf dem Catwalk.
63,A2,5,berufe,main,Musiker,der,-,Noun,,,musician (male),müzisyen (erkek),музыкант (муж.),музикант,موزیسین / نوازنده (مرد),موسيقي (مذكر),6,8,Der Musiker übt jeden Tag Gitarre.
64,A2,5,berufe,sub,Musikerin,die,-nen,Noun,,,musician (female),müzisyen (kadın),музыкант (жен.),музикантка,موزیسین (زن),موسيقية (مؤنث),7,8,Die Musikerin singt Lieder auf der Bühne.
65,A2,5,berufe,main,Polizist,der,-en,Noun,,,police officer (male),polis memuru (erkek),полицейский (муж.),поліцейський,افسر پلیس (مرد),ضابط شرطة (مذكر),6,8,Der Polizist hilft bei einem Unfall.
66,A2,5,berufe,sub,Polizistin,die,-nen,Noun,,,police officer (female),polis memuru (kadın),полицейский (жен.),поліцейська,افسر پلیس (زن),ضابطة شرطة (مؤنث),7,8,Die Polizistin regelt den Verkehr an der Kreuzung.
67,A2,5,berufe,main,Rentner,der,-,Noun,,,retiree / pensioner (male),emekli (erkek),пенсионер,пенсіонер,بازنشسته (مرد),متقاعد / صاحب معاش (مذكر),6,8,Der Rentner geht morgens spazieren im Park.
68,A2,5,berufe,sub,Rentnerin,die,-nen,Noun,,,retiree / pensioner (female),emekli (kadın),пенсионерка,пенсіонерка,بازنشسته (زن),متقاعدة / صاحبة معاش (مؤنث),7,8,Die Rentnerin trifft Freunde im Café.
69,A2,5,berufe,main,Sänger,der,-,Noun,,,singer (male),şarkıcı (erkek),певец,співак,خواننده (مرد),مغنٍّ (مذكر),5,8,Der Sänger übt für das Konzert.
70,A2,5,berufe,sub,Sängerin,die,-nen,Noun,,,singer (female),şarkıcı (kadın),певица,співачка,خواننده (زن),مغنية (مؤنث),6,8,Die Sängerin hat heute eine Probe.
71,A2,5,berufe,main,Schauspieler,der,-,Noun,,,actor,aktör,актёр,актор,بازیگر,ممثل,10,8,Der Schauspieler übt seine Rolle für das Theater.
72,A2,5,berufe,sub,Schauspielerin,die,-nen,Noun,,,actress,aktris,актриса,акторка,بازیگر (زن),ممثلة,10,8,Die Schauspielerin steht im Rampenlicht.
73,A2,5,berufe,main,Techniker,der,-,Noun,,,technician (male),teknisyen (erkek),техник (муж.),технік (чол.),تکنسین (مرد),تقني (مذكر),7,8,Der Techniker installiert das neue Gerät.
74,A2,5,berufe,sub,Technikerin,die,-nen,Noun,,,technician (female),teknisyen (kadın),техник (жен.),технік (ж.),تکنسین (زن),تقنية (مؤنث),7,8,Die Technikerin überprüft die Maschine.
75,A2,5,berufe,main,Verkäufer,der,-,Noun,,,salesperson (male),satış elemanı (erkek),продавец (муж.),продавець,فروشنده (مرد),بائع (مذكر),7,8,Der Verkäufer berät Kunden im Laden.
76,A2,5,berufe,sub,Verkäuferin,die,-nen,Noun,,,salesperson (female),satış elemanı (kadın),продавец (жен.),продавчиня,فروشنده (زن),بائعة (مؤنث),7,8,Die Verkäuferin packt die Einkäufe ein.
77,A2,5,familienmitglieder,section_title,Familienmitglied,das,-er,Noun,,,family member,aile üyesi,член семьи,член родини,عضو خانواده,فرد من أفراد العائلة,10,3,Jedes Familienmitglied hilft im Haus.
78,A2,5,familienmitglieder,main,Bruder,der,¨-,Noun,,,brother,kardeş (erkek),брат,брат,برادر,أخ,1,3,Mein Bruder spielt oft Fußball im Park.
79,A2,5,familienmitglieder,main,Cousin,der,-s,Noun,,,cousin (male),kuzen (erkek),двоюrodний брат (муж.),двоюрідний брат,پسرعمو / پسردایی,ابن عم / ابن خال (مذكر),5,3,Mein Cousin besucht uns im Sommer.
80,A2,5,familienmitglieder,main,Cousine,die,-n,Noun,,,cousin (female),kuzen (kız),двоюродная сестра (жен.),двоюрідна сестра,دخترعمو / دختردایی,ابنة عم / ابنة خال (مؤنث),6,3,Meine Cousine wohnt in einer anderen Stadt.
81,A2,5,familienmitglieder,main,Eltern,die,,Noun,,,parents,ebeveynler,родители,батьки,والدین,والدان,1,3,Meine Eltern kommen am Wochenende zu Besuch.
82,A2,5,familienmitglieder,main,Enkel,der,-,Noun,,,grandson,torun (erkek),внук,онук,نوه (پسر),حفيد,5,3,Der Enkel spielt mit seinem Opa.
83,A2,5,familienmitglieder,sub,Enkelin,die,-nen,Noun,,,granddaughter,torun (kız),внучка,онучка,نوه (دختر),حفيدة,6,3,Die Enkelin malt ein Bild für die Großmutter.
84,A2,5,familienmitglieder,main,Geschwister,die,,Noun,,,siblings,kardeşler,братья и сёстры,брати і сестри,خواهر و برادر,أشقاء / إخوة وأخوات,7,3,Ich habe drei Geschwister: zwei Brüder und eine Schwester.
85,A2,5,familienmitglieder,main,Großeltern,die,,Noun,,,grandparents,büyük ebeveynler,бабушка и дедушка,бабуся і дідусь,پدربزرگ و مادربزرگ,أجداد,10,3,Meine Großeltern wohnen auf dem Land.
86,A2,5,familienmitglieder,main,Großmutter,die,¨-,Noun,,,grandmother,büyükanne,бабушка,бабуся,مادربزرگ,جدّة,7,3,Die Großmutter backt am Sonntag einen Kuchen.
87,A2,5,familienmitglieder,sub,Oma,die,-s,Noun,,,grandma,anna / anneanne (kontext),бабуля,бабуня,مامان‌بزرگ,جدّتي / ناناي,1,3,Meine Oma erzählt mir oft Geschichten.
88,A2,5,familienmitglieder,main,Großvater,der,¨-,Noun,,,grandfather,dede / büyükbaba (kontext),дедушка,дідусь,پدربزرگ,جدّ,7,3,Der Großvater liest die Zeitung jeden Morgen.
89,A2,5,familienmitglieder,sub,Opa,der,-s,Noun,,,grandpa,dede,дедуля,дідусь,بابابزرگ,جدّي / سيدي,1,3,Mein Opa spielt gern Karten mit Freunden.
90,A2,5,familienmitglieder,main,Kind,das,-er,Noun,,,child,çocuk,ребёнок,дитина,کودک / بچه,طفل,1,3,Das Kind spielt mit einem Ball im Garten.
91,A2,5,familienmitglieder,main,Mutter,die,¨-,Noun,,,mother,anne,мать,мати,مادر,أم,1,3,Meine Mutter kocht heute Abend das Abendessen.
92,A2,5,familienmitglieder,sub,Mama,die,-s,Noun,,,mom / mum,anne / mama,мама,мама,مامان,ماما / أمي,1,3,"Mama, kannst du mir bitte helfen?"
93,A2,5,familienmitglieder,main,Onkel,der,-,Noun,,,uncle,amca / dayı,дядя,дядько,عمو / دایی,عم / خال,2,3,Mein Onkel besucht uns zu Weihnachten.
94,A2,5,familienmitglieder,main,Schwester,die,-n,Noun,,,sister,kız kardeş,сестра,сестра,خواهر,أخت,3,3,Meine Schwester geht morgen zur Arbeit.
95,A2,5,familienmitglieder,main,Sohn,der,¨-e,Noun,,,son,oğul,сын,син,پسر,ابن,1,3,Der Sohn lernt jeden Tag für die Schule.
96,A2,5,familienmitglieder,main,Tante,die,-n,Noun,,,aunt,tante / teyze,тётя,тітка,عمه / خاله,عمة / خالة,2,3,Meine Tante backt einen Geburtstagskuchen.
97,A2,5,familienmitglieder,main,Tochter,die,¨-,Noun,,,daughter,kız,дочь,донька,دختر,ابنة,3,3,Die Tochter spielt Klavier im Musikunterricht.
98,A2,5,familienmitglieder,main,Vater,der,¨-,Noun,,,father,baba,отец,батько,پدر,أب,2,3,Mein Vater ist früh zur Arbeit gefahren.
99,A2,5,familienmitglieder,sub,Papa,der,-s,Noun,,,dad,baba,папа,тато,بابا,بابا / أبي,1,3,Papa bringt mich heute zur Schule.
100,A2,5,familienmitglieder,main,Verwandte,der/die,-n,Noun,,,relative,yakın / akraba,родственник,родич,خویشاوند / فامیل,قريب / قريبة,7,3,Viele Verwandte kommen zur Familienfeier.
101,A2,5,familienstand,section_title,Familienstand,der,,Noun,,,marital status,medeni durum,семейное положение,сімейний стан,وضعیت تأهل,الحالة الاجتماعية,10,3,Bitte geben Sie Ihren Familienstand an: ledig oder verheiratet.
102,A2,5,familienstand,main,ledig,,,Adjective,,,single / unmarried,bekar,холостой / незамужняя,неодружений / незаміжня,مجرد,أعزب / غير متزوج,5,3,Sie ist ledig.
103,A2,5,familienstand,main,verheiratet,,,Adjective,,,married,evli,женат / замужем,одружений / заміжня,متأهل,متزوج,7,3,Sie ist verheiratet.
104,A2,5,familienstand,main,getrennt,,,Adjective,,,separated,ayrılmış,в разлуке / раздельно,у розлуці,جدا / در حال جدایی,منفصل,6,3,Sie ist getrennt.
105,A2,5,familienstand,main,geschieden,,,Adjective,,,divorced,boşanmış,разведённый,розлучений,مطلقه / طلاق گرفته,مطلق,10,3,Sie ist geschieden.
106,A2,5,farben,section_title,Farbe,die,-n,Noun,,,color,renk,цвет,колір,رنگ,لون,2,21,Welche Farbe hat dein Auto?
107,A2,5,farben,main,blau,,,Adjective,,,blue,mavi,синий,синій,آبی,أزرق,1,21,Das Hemd ist blau.
108,A2,5,farben,main,braun,,,Adjective,,,brown,kahverengi,коричневый,коричневий,قهوه‌ای,بني,2,21,Das Hemd ist braun.
109,A2,5,farben,main,gelb,,,Adjective,,,yellow,sarı,жёлтый,жовтий,زرد,أصفر,1,21,Das Hemd ist gelb.
110,A2,5,farben,main,grau,,,Adjective,,,gray,gri,серый,сірий,خاکستری,رمادي,1,21,Das Hemd ist grau.
111,A2,5,farben,main,grün,,,Adjective,,,green,yeşil,зелёный,зелений,سبز,أخضر,1,21,Das Hemd ist grün.
112,A2,5,farben,main,lila,,,Adjective,,,purple / lilac,mor,фиолетовый / сиреневый,фіолетовий / бузковий,بنفش / یاسی,بنفسجي / ليلكي,4,21,Das Hemd ist lila.
113,A2,5,farben,main,orange,,,Adjective,,,orange,turuncu,оранжевый,помаранчевий,نارنجی,برتقالي,3,21,Das Hemd ist orange.
114,A2,5,farben,main,rosa,,,Adjective,,,pink,pembe,розовый,рожевий,صورتی,وردي,1,21,Das Hemd ist rosa.
115,A2,5,farben,main,rot,,,Adjective,,,red,kırmızı,красный,червоний,قرمز,أحمر,1,21,Das Hemd ist rot.
116,A2,5,farben,main,schwarz,,,Adjective,,,black,siyah,чёрный,чорний,مشکی / سیاه,أسود,2,21,Das Hemd ist schwarz.
117,A2,5,farben,main,weiß,,,Adjective,,,white,beyaz,белый,білий,سفید,أبيض,1,21,Das Hemd ist weiß.
118,A2,5,himmelsrichtungen,section_title,Himmelsrichtung,die,-en,Noun,,,compass direction,yön,сторона света,сторона світу,جهت جغرافیایی,اتجاه البوصلة,10,20,Norden ist eine von vier Himmelsrichtungen.
119,A2,5,himmelsrichtungen,main,Norden,der,,Noun,,,north,kuzey,север,північ,شمال,الشمال,5,20,Hamburg liegt im Norden Deutschlands.
120,A2,5,himmelsrichtungen,main,Süden,der,,Noun,,,south,güney,юг,південь,جنوب,الجنوب,5,20,München liegt im Süden von Deutschland.
121,A2,5,himmelsrichtungen,main,Osten,der,,Noun,,,east,doğu,восток,схід,شرق,الشرق,5,20,Berlin liegt im Osten Deutschlands.
122,A2,5,himmelsrichtungen,main,Westen,der,,Noun,,,west,batı,запад,захід,غرب,الغرب,5,20,Köln liegt im Westen von Deutschland.
123,A2,6,laender,section_title,Land,das,¨-er,Noun,,,country,ülke,страна,країна,کشور,بلد / دولة,1,20,Deutschland ist ein großes Land in Europa.
124,A2,6,laender,section_title,Nationalität,die,-en,Noun,,,nationality,milliyet,национальность,національність,ملیت,جنسية,10,20,Welche Nationalität hat er?
125,A2,6,laender,main,Deutschland,,,Noun,,,Germany,Almanya,Германия,Німеччина,آلمان,ألمانيا,2,20,Ich wohne seit fünf Jahren in Deutschland.
126,A2,6,laender,sub,Deutsche,der/die,-n,Noun,,,German (person),Alman (kişi),немец,німець,آلمانی (شخص),ألماني / ألمانية,3,20,Er ist Deutscher und kommt aus Berlin.
127,A2,6,laender,sub,deutsch,,,Adjective,,,German,Alman,немецкий,німецький,آلمانی,ألماني,3,20,Ich lerne Deutsch in der Schule.
128,A2,6,laender,main,Österreich,,,Noun,,,Austria,Avusturya,Австрия,Австрія,اتریش,النمسا,7,20,Wien ist die Hauptstadt von Österreich.
129,A2,6,laender,sub,Österreicher,der,-,Noun,,,Austrian (male),Avusturyalı (erkek),австриец (муж.),австрієць,اتریشی (مرد),نمساوي (مذكر),10,20,Er ist Österreicher und spricht Deutsch.
130,A2,6,laender,sub,Österreicherin,die,-nen,Noun,,,Austrian (female),Avusturyalı (kadın),австрийка (жен.),австрійка,اتریشی (زن),نمساوية (مؤنث),10,20,Die Österreicherin wohnt in einem kleinen Dorf.
131,A2,6,laender,sub,österreichisch,,,Adjective,,,Austrian,Avusturyalı,австрийский,австрійський,اتریشی,نمساوي,10,20,Er hat einen österreichischen Ausweis.
132,A2,6,laender,main,Schweiz,die,,Noun,,,Switzerland,İsviçre,Швейцария,Швейцарія,سوئیس,سويسرا,6,20,Die Schweiz hat vier Amtssprachen.
133,A2,6,laender,sub,Schweizer,der,-,Noun,,,Swiss (male),İsviçreli (erkek),швейцарец (муж.),швейцарець,سوئیسی (مرد),سويسري (مذكر),7,20,Der Schweizer spricht Deutsch und Französisch.
134,A2,6,laender,sub,Schweizerin,die,-nen,Noun,,,Swiss (female),İsviçreli (kadın),швейцарка (жен.),швейцарка,سوئیسی (زن),سويسرية (مؤنث),7,20,Die Schweizerin kommt aus Zürich.
135,A2,6,laender,sub,schweizerisch,,,Adjective,,,Swiss,İsviçre'ye ait,швейцарский,швейцарський,سوئیسی,سويسري,10,20,Das ist ein schweizerisches Produkt.
136,A2,6,laender,main,Luxemburg,,,Noun,,,Luxembourg,Lüksemburg,Люксембург,Люксембург,لوکزامبورگ,لوكسمبورغ,7,20,Luxemburg liegt zwischen Deutschland und Frankreich.
137,A2,6,laender,sub,Luxemburger,der,-,Noun,,,Luxembourger (male),Lüksemburglu (erkek),люксембуржец (муж.),люксембуржець,لوکزامبورگی (مرد),لوكسمبورغي (مذكر),10,20,Der Luxemburger spricht mehrere Sprachen.
138,A2,6,laender,sub,Luxemburgerin,die,-nen,Noun,,,Luxembourger (female),Lüksemburglu (kadın),люксембурженка,люксембурженка,لوکزامبورگی (زن),لوكسمبورغية (مؤنث),10,20,Die Luxemburgerin arbeitet in Brüssel.
139,A2,6,laender,sub,luxemburgisch,,,Adjective,,,Luxembourgish,Lüksemburg (sıfat),люксембургский,люксембурзький,لوکزامبورگی,لوكسمبورغي,10,20,Er hat einen luxemburgischen Pass.
140,A2,6,laender,main,Europa,,,Noun,,,Europe,Avrupa,Европа,Європа,اروپا,أوروبا,3,20,Deutschland liegt in Europa.
141,A2,6,laender,sub,Europäer,der,-,Noun,,,European (male),Avrupalı (erkek),европеец (муж.),європеєць,اروپایی (مرد),أوروبي (مذكر),6,20,Er ist Europäer mit einem deutschen Pass.
