id,level,source_page,section,entry_type,word,article,plural,word_type,verb_present,verb_perfect,translation_en,translation_tr,translation_ru,translation_uk,translation_fa,translation_ar,difficulty
18,A2,5,anweisungssprache,main,Prüfer,der,-,Noun,,,examiner (male),sınav görevlisi (erkek),экзаменатор (муж.),екзаменатор (чол.),ممتحن (مرد),ممتحِن (مذكر),2
19,A2,5,anweisungssprache,sub,Prüferin,die,-nen,Noun,,,examiner (female),sınav görevlisi (kadın),экзаменатор (жен.),екзаменаторка,ممتحن (زن),ممتحِنة (مؤنث),2
20,A2,5,anweisungssprache,main,Prüfung,die,-en,Noun,,,exam / test,sınav / test,экзамен / тест,іспит / тест,آزمون / امتحان,امتحان / اختبار,2
21,A2,5,anweisungssprache,main,Punkt,der,-e,Noun,,,point,puan,пункт,пункт,نقطه,نقطة,1
22,A2,5,anweisungssprache,main,Teil,der,-e,Noun,,,part,bölüm / kısım,часть,частина,قسمت,جزء,1
23,A2,5,anweisungssprache,main,Test,der,-s,Noun,,,test,test,тест,тест,تست,اختبار,1
24,A2,5,anweisungssprache,main,Text,der,-e,Noun,,,text,metin,текст,текст,متن,نص,1
25,A2,5,anweisungssprache,main,Wörterbuch,das,¨-er,Noun,,,dictionary,sözlük,словарь,словник,فرهنگ لغت,قاموس,3
26,A2,5,berufe,section_title,Beruf,der,-e,Noun,,,profession / job,meslek / iş,профессия / работа,професія / робота,حرفه / شغل,مهنة / وظيفة,2
27,A2,5,berufe,main,Angestellte,der/die,-n,Noun,,,employee / salaried worker,çalışan / memur,сотрудник / служащий,співробітник,کارمند,موظف / عامل براتب,3
28,A2,5,berufe,main,Arzt,der,¨-e,Noun,,,doctor (male),doktor (erkek),врач (муж.),лікар,پزشک (مرد),طبيب (مذكر),2
29,A2,5,berufe,sub,Ärztin,die,-nen,Noun,,,doctor (female),doktor (kadın),врач (жен.),лікарка,پزشک (زن),طبيبة (مؤنث),2
30,A2,5,berufe,main,Auszubildende,der/die,-n,Noun,,,trainee / apprentice,çırak / stajyer,стажёр / ученик,стажер,کارآموز,متدرب / متدربة,3
31,A2,5,berufe,main,Autor,der,-en,Noun,,,author (male),yazar (erkek),автор (муж.),автор,نویسنده (مرد),مؤلف (مذكر),2
32,A2,5,berufe,sub,Autorin,die,-nen,Noun,,,author (female),yazar (kadın),автор (жен.),авторка,نویسنده (زن),مؤلفة (مؤنث),2
33,A2,5,berufe,main,Babysitter,der,-,Noun,,,babysitter,bebek bakıcısı,няня,няня,پرستار بچه,جليس أطفال,2
34,A2,5,berufe,main,Bäcker,der,-,Noun,,,baker (male),fırıncı (erkek),пекарь (муж.),пекар,نانوا (مرد),خبّاز (مذكر),2
35,A2,5,berufe,sub,Bäckerin,die,-nen,Noun,,,baker (female),fırıncı (kadın),пекарь (жен.),пекарка,نانوا (زن),خبّازة (مؤنث),2
36,A2,5,berufe,main,Doktor,der,-en,Noun,,,doctor / PhD (male),doktor (erkek),доктор / кандидат наук (муж.),доктор,دکتر (مرد),دكتور / حامل شهادة الدكتوراه (مذكر),1
37,A2,5,berufe,sub,Doktorin,die,-nen,Noun,,,doctor / PhD (female),doktor (kadın),доктор / кандидат наук (жен.),докторка,دکتر (زن),دكتورة / حاملة شهادة الدكتوراه (مؤنث),2
38,A2,5,berufe,main,Fahrer,der,-,Noun,,,driver (male),şoför (erkek),водитель (муж.),водій,راننده (مرد),سائق (مذكر),2
39,A2,5,berufe,sub,Fahrerin,die,-nen,Noun,,,driver (female),şoför (kadın),водитель (жен.),водійка,راننده (زن),سائقة (مؤنث),2
40,A2,5,berufe,main,Friseur,der,-e,Noun,,,hairdresser (male),kuaför (erkek),парикмахер (муж.),перукар,آرایشگر (مرد),حلّاق (مذكر),2
41,A2,5,berufe,sub,Friseurin,die,-nen,Noun,,,hairdresser (female),kuaför (kadın),парикмахер (жен.),перукарка,آرایشگر (زن),حلّاقة (مؤنث),2
42,A2,5,berufe,main,Handwerker,der,-,Noun,,,craftsman / tradesperson (male),zanaatkar (erkek),ремесленник / мастер (муж.),ремісник,صنعتگر / استاد کار (مرد),حرفي / عامل مهني (مذكر),3
43,A2,5,berufe,sub,Handwerkerin,die,-nen,Noun,,,craftswoman / tradesperson (female),zanaatkar (kadın),ремесленница / мастер (жен.),ремісниця,صنعتگر (زن),حرفية / عاملة مهنية (مؤنث),3
44,A2,5,berufe,main,Hausmann,der,¨-er,Noun,,,househusband,ev erkeği,домохозяин,домогосподар,مرد خانه‌دار,ربّ المنزل,2
45,A2,5,berufe,sub,Hausfrau,die,-en,Noun,,,housewife,ev kadını,домохозяйка,домогосподарка,خانه‌دار,ربّة المنزل,2
46,A2,5,berufe,main,Journalist,der,-en,Noun,,,journalist (male),gazeteci (erkek),журналист (муж.),журналіст,روزنامه‌نگار (مرد),صحفي (مذكر),3
47,A2,5,berufe,sub,Journalistin,die,-nen,Noun,,,journalist (female),gazeteci (kadın),журналист (жен.),журналістка,روزنامه‌نگار (زن),صحفية (مؤنث),3
48,A2,5,berufe,main,Kaufmann,der,Kaufleute,Noun,,,businessman / merchant (male),tüccar / işadamı,бизнесмен / торговец (муж.),підприємець,تاجر / بازرگان (مرد),رجل أعمال / تاجر (مذكر),3
49,A2,5,berufe,sub,Kauffrau,die,-en,Noun,,,businesswoman / merchant (female),iş kadını,бизнесвумен / торговец (жен.),підприємиця,تاجر (زن),سيدة أعمال / تاجرة (مؤنث),3
50,A2,5,berufe,main,Kellner,der,-,Noun,,,waiter,garson,официант,офіціант,گارسون / پیشخدمت,نادل,2
51,A2,5,berufe,sub,Kellnerin,die,-nen,Noun,,,waitress,garson (kadın),официантка,офіціантка,گارسون (زن),نادلة,2
52,A2,5,berufe,main,Koch,der,¨-e,Noun,,,cook / chef (male),aşçı / şef (erkek),повар / шеф-повар (муж.),кухар,آشپز (مرد),طاهٍ / طبّاخ (مذكر),1
53,A2,5,berufe,sub,Köchin,die,-nen,Noun,,,cook / chef (female),aşçı (kadın),повар / шеф-повар (жен.),кухарка,آشپز (زن),طاهية / طبّاخة (مؤنث),2
54,A2,5,berufe,main,Krankenpfleger,der,-,Noun,,,male nurse,erkek hemşire,медбрат (муж.),медбрат,پرستار (مرد),ممرض (مذكر),3
55,A2,5,berufe,sub,Krankenschwester,die,-n,Noun,,,nurse,hemşire,медсестра,медсестра,پرستار,ممرضة,3
56,A2,5,berufe,main,Künstler,der,-,Noun,,,artist (male),sanatçı (erkek),художник (муж.),художник,هنرمند (مرد),فنان (مذكر),2
57,A2,5,berufe,sub,Künstlerin,die,-nen,Noun,,,artist (female),sanatçı (kadın),художница (жен.),художниця,هنرمند (زن),فنانة (مؤنث),2
58,A2,5,berufe,main,Lehrer,der,-,Noun,,,teacher (male),öğretmen (erkek),учитель (муж.),вчитель,معلم (مرد),معلم (مذكر),1
59,A2,5,berufe,sub,Lehrerin,die,-nen,Noun,,,teacher (female),öğretmen (kadın),учительница (жен.),вчителька,معلم (زن),معلمة (مؤنث),1
60,A2,5,berufe,main,Mechaniker,der,-,Noun,,,mechanic (male),tamirci (erkek),механик (муж.),механік (чол.),مکانیک (مرد),ميكانيكي (مذكر),2
61,A2,5,berufe,sub,Mechanikerin,die,-nen,Noun,,,mechanic (female),tamirci (kadın),механик (жен.),механік (ж.),مکانیک (زن),ميكانيكية (مؤنث),2
62,A2,5,berufe,main,Model,das,-s,Noun,,,model,model,модель,модель,مدل,عارض أزياء,1
63,A2,5,berufe,main,Musiker,der,-,Noun,,,musician (male),müzisyen (erkek),музыкант (муж.),музикант,موزیسین / نوازنده (مرد),موسيقي (مذكر),2
64,A2,5,berufe,sub,Musikerin,die,-nen,Noun,,,musician (female),müzisyen (kadın),музыкант (жен.),музикантка,موزیسین (زن),موسيقية (مؤنث),2
65,A2,5,berufe,main,Polizist,der,-en,Noun,,,police officer (male),polis memuru (erkek),полицейский (муж.),поліцейський,افسر پلیس (مرد),ضابط شرطة (مذكر),2
66,A2,5,berufe,sub,Polizistin,die,-nen,Noun,,,police officer (female),polis memuru (kadın),полицейский (жен.),поліцейська,افسر پلیس (زن),ضابطة شرطة (مؤنث),2
67,A2,5,berufe,main,Rentner,der,-,Noun,,,retiree / pensioner (male),emekli (erkek),пенсионер,пенсіонер,بازنشسته (مرد),متقاعد / صاحب معاش (مذكر),2
68,A2,5,berufe,sub,Rentnerin,die,-nen,Noun,,,retiree / pensioner (female),emekli (kadın),пенсионерка,пенсіонерка,بازنشسته (زن),متقاعدة / صاحبة معاش (مؤنث),2
69,A2,5,berufe,main,Sänger,der,-,Noun,,,singer (male),şarkıcı (erkek),певец,співак,خواننده (مرد),مغنٍّ (مذكر),2
70,A2,5,berufe,sub,Sängerin,die,-nen,Noun,,,singer (female),şarkıcı (kadın),певица,співачка,خواننده (زن),مغنية (مؤنث),2
71,A2,5,berufe,main,Schauspieler,der,-,Noun,,,actor,aktör,актёр,актор,بازیگر,ممثل,3
72,A2,5,berufe,sub,Schauspielerin,die,-nen,Noun,,,actress,aktris,актриса,акторка,بازیگر (زن),ممثلة,3
73,A2,5,berufe,main,Techniker,der,-,Noun,,,technician (male),teknisyen (erkek),техник (муж.),технік (чол.),تکنسین (مرد),تقني (مذكر),2
74,A2,5,berufe,sub,Technikerin,die,-nen,Noun,,,technician (female),teknisyen (kadın),техник (жен.),технік (ж.),تکنسین (زن),تقنية (مؤنث),2
75,A2,5,berufe,main,Verkäufer,der,-,Noun,,,salesperson (male),satış elemanı (erkek),продавец (муж.),продавець,فروشنده (مرد),بائع (مذكر),2
76,A2,5,berufe,sub,Verkäuferin,die,-nen,Noun,,,salesperson (female),satış elemanı (kadın),продавец (жен.),продавчиня,فروشنده (زن),بائعة (مؤنث),2
77,A2,5,familienmitglieder,section_title,Familienmitglied,das,-er,Noun,,,family member,aile üyesi,член семьи,член родини,عضو خانواده,فرد من أفراد العائلة,3
78,A2,5,familienmitglieder,main,Bruder,der,¨-,Noun,,,brother,kardeş (erkek),брат,брат,برادر,أخ,1
79,A2,5,familienmitglieder,main,Cousin,der,-s,Noun,,,cousin (male),kuzen (erkek),двоюrodний брат (муж.),двоюрідний брат,پسرعمو / پسردایی,ابن عم / ابن خال (مذكر),2
80,A2,5,familienmitglieder,main,Cousine,die,-n,Noun,,,cousin (female),kuzen (kız),двоюродная сестра (жен.),двоюрідна сестра,دخترعمو / دختردایی,ابنة عم / ابنة خال (مؤنث),2
81,A2,5,familienmitglieder,main,Eltern,die,,Noun,,,parents,ebeveynler,родители,батьки,والدین,والدان,1
82,A2,5,familienmitglieder,main,Enkel,der,-,Noun,,,grandson,torun (erkek),внук,онук,نوه (پسر),حفيد,2
83,A2,5,familienmitglieder,sub,Enkelin,die,-nen,Noun,,,granddaughter,torun (kız),внучка,онучка,نوه (دختر),حفيدة,2
84,A2,5,familienmitglieder,main,Geschwister,die,,Noun,,,siblings,kardeşler,братья и сёстры,брати і сестри,خواهر و برادر,أشقاء / إخوة وأخوات,2
85,A2,5,familienmitglieder,main,Großeltern,die,,Noun,,,grandparents,büyük ebeveynler,бабушка и дедушка,бабуся і дідусь,پدربزرگ و مادربزرگ,أجداد,3
86,A2,5,familienmitglieder,main,Großmutter,die,¨-,Noun,,,grandmother,büyükanne,бабушка,бабуся,مادربزرگ,جدّة,2
87,A2,5,familienmitglieder,sub,Oma,die,-s,Noun,,,grandma,anna / anneanne (kontext),бабуля,бабуня,مامان‌بزرگ,جدّتي / ناناي,1
88,A2,5,familienmitglieder,main,Großvater,der,¨-,Noun,,,grandfather,dede / büyükbaba (kontext),дедушка,дідусь,پدربزرگ,جدّ,2
89,A2,5,familienmitglieder,sub,Opa,der,-s,Noun,,,grandpa,dede,дедуля,дідусь,بابابزرگ,جدّي / سيدي,1
90,A2,5,familienmitglieder,main,Kind,das,-er,Noun,,,child,çocuk,ребёнок,дитина,کودک / بچه,طفل,1
91,A2,5,familienmitglieder,main,Mutter,die,¨-,Noun,,,mother,anne,мать,мати,مادر,أم,1
92,A2,5,familienmitglieder,sub,Mama,die,-s,Noun,,,mom / mum,anne / mama,мама,мама,مامان,ماما / أمي,1
93,A2,5,familienmitglieder,main,Onkel,der,-,Noun,,,uncle,amca / dayı,дядя,дядько,عمو / دایی,عم / خال,1
94,A2,5,familienmitglieder,main,Schwester,die,-n,Noun,,,sister,kız kardeş,сестра,сестра,خواهر,أخت,1
95,A2,5,familienmitglieder,main,Sohn,der,¨-e,Noun,,,son,oğul,сын,син,پسر,ابن,1
96,A2,5,familienmitglieder,main,Tante,die,-n,Noun,,,aunt,tante / teyze,тётя,тітка,عمه / خاله,عمة / خالة,1
97,A2,5,familienmitglieder,main,Tochter,die,¨-,Noun,,,daughter,kız,дочь,донька,دختر,ابنة,1
98,A2,5,familienmitglieder,main,Vater,der,¨-,Noun,,,father,baba,отец,батько,پدر,أب,1
99,A2,5,familienmitglieder,sub,Papa,der,-s,Noun,,,dad,baba,папа,тато,بابا,بابا / أبي,1
100,A2,5,familienmitglieder,main,Verwandte,der/die,-n,Noun,,,relative,yakın / akraba,родственник,родич,خویشاوند / فامیل,قريب / قريبة,2
101,A2,5,familienstand,section_title,Familienstand,der,,Noun,,,marital status,medeni durum,семейное положение,сімейний стан,وضعیت تأهل,الحالة الاجتماعية,3
102,A2,5,familienstand,main,ledig,,,Adjective,,,single / unmarried,bekar,холостой / незамужняя,неодружений / незаміжня,مجرد,أعزب / غير متزوج,2
103,A2,5,familienstand,main,verheiratet,,,Adjective,,,married,evli,женат / замужем,одружений / заміжня,متأهل,متزوج,2
104,A2,5,familienstand,main,getrennt,,,Adjective,,,separated,ayrılmış,в разлуке / раздельно,у розлуці,جدا / در حال جدایی,منفصل,2
105,A2,5,familienstand,main,geschieden,,,Adjective,,,divorced,boşanmış,разведённый,розлучений,مطلقه / طلاق گرفته,مطلق,3
106,A2,5,farben,section_title,Farbe,die,-n,Noun,,,color,renk,цвет,колір,رنگ,لون,1
107,A2,5,farben,main,blau,,,Adjective,,,blue,mavi,синий,синій,آبی,أزرق,1
108,A2,5,farben,main,braun,,,Adjective,,,brown,kahverengi,коричневый,коричневий,قهوه‌ای,بني,1
109,A2,5,farben,main,gelb,,,Adjective,,,yellow,sarı,жёлтый,жовтий,زرد,أصفر,1
110,A2,5,farben,main,grau,,,Adjective,,,gray,gri,серый,сірий,خاکستری,رمادي,1
111,A2,5,farben,main,grün,,,Adjective,,,green,yeşil,зелёный,зелений,سبز,أخضر,1
112,A2,5,farben,main,lila,,,Adjective,,,purple / lilac,mor,фиолетовый / сиреневый,фіолетовий / бузковий,بنفش / یاسی,بنفسجي / ليلكي,2
113,A2,5,farben,main,orange,,,Adjective,,,orange,turuncu,оранжевый,помаранчевий,نارنجی,برتقالي,1
114,A2,5,farben,main,rosa,,,Adjective,,,pink,pembe,розовый,рожевий,صورتی,وردي,1
115,A2,5,farben,main,rot,,,Adjective,,,red,kırmızı,красный,червоний,قرمز,أحمر,1
116,A2,5,farben,main,schwarz,,,Adjective,,,black,siyah,чёрный,чорний,مشکی / سیاه,أسود,1
117,A2,5,farben,main,weiß,,,Adjective,,,white,beyaz,белый,білий,سفید,أبيض,1
118,A2,5,himmelsrichtungen,section_title,Himmelsrichtung,die,-en,Noun,,,compass direction,yön,сторона света,сторона світу,جهت جغرافیایی,اتجاه البوصلة,3
119,A2,5,himmelsrichtungen,main,Norden,der,,Noun,,,north,kuzey,север,північ,شمال,الشمال,2
120,A2,5,himmelsrichtungen,main,Süden,der,,Noun,,,south,güney,юг,південь,جنوب,الجنوب,2
121,A2,5,himmelsrichtungen,main,Osten,der,,Noun,,,east,doğu,восток,схід,شرق,الشرق,2
122,A2,5,himmelsrichtungen,main,Westen,der,,Noun,,,west,batı,запад,захід,غرب,الغرب,2
123,A2,6,laender,section_title,Land,das,¨-er,Noun,,,country,ülke,страна,країна,کشور,بلد / دولة,1
124,A2,6,laender,section_title,Nationalität,die,-en,Noun,,,nationality,milliyet,национальность,національність,ملیت,جنسية,3
125,A2,6,laender,main,Deutschland,,,Noun,,,Germany,Almanya,Германия,Німеччина,آلمان,ألمانيا,1
126,A2,6,laender,sub,Deutsche,der/die,-n,Noun,,,German (person),Alman (kişi),немец,німець,آلمانی (شخص),ألماني / ألمانية,1
127,A2,6,laender,sub,deutsch,,,Adjective,,,German,Alman,немецкий,німецький,آلمانی,ألماني,1
128,A2,6,laender,main,Österreich,,,Noun,,,Austria,Avusturya,Австрия,Австрія,اتریش,النمسا,2
129,A2,6,laender,sub,Österreicher,der,-,Noun,,,Austrian (male),Avusturyalı (erkek),австриец (муж.),австрієць,اتریشی (مرد),نمساوي (مذكر),3
130,A2,6,laender,sub,Österreicherin,die,-nen,Noun,,,Austrian (female),Avusturyalı (kadın),австрийка (жен.),австрійка,اتریشی (زن),نمساوية (مؤنث),3
131,A2,6,laender,sub,österreichisch,,,Adjective,,,Austrian,Avusturyalı,австрийский,австрійський,اتریشی,نمساوي,3
132,A2,6,laender,main,Schweiz,die,,Noun,,,Switzerland,İsviçre,Швейцария,Швейцарія,سوئیس,سويسرا,2
133,A2,6,laender,sub,Schweizer,der,-,Noun,,,Swiss (male),İsviçreli (erkek),швейцарец (муж.),швейцарець,سوئیسی (مرد),سويسري (مذكر),2
134,A2,6,laender,sub,Schweizerin,die,-nen,Noun,,,Swiss (female),İsviçreli (kadın),швейцарка (жен.),швейцарка,سوئیسی (زن),سويسرية (مؤنث),2
135,A2,6,laender,sub,schweizerisch,,,Adjective,,,Swiss,İsviçre'ye ait,швейцарский,швейцарський,سوئیسی,سويسري,3
136,A2,6,laender,main,Luxemburg,,,Noun,,,Luxembourg,Lüksemburg,Люксембург,Люксембург,لوکزامبورگ,لوكسمبورغ,2
137,A2,6,laender,sub,Luxemburger,der,-,Noun,,,Luxembourger (male),Lüksemburglu (erkek),люксембуржец (муж.),люксембуржець,لوکزامبورگی (مرد),لوكسمبورغي (مذكر),3
138,A2,6,laender,sub,Luxemburgerin,die,-nen,Noun,,,Luxembourger (female),Lüksemburglu (kadın),люксембурженка,люксембурженка,لوکزامبورگی (زن),لوكسمبورغية (مؤنث),3
139,A2,6,laender,sub,luxemburgisch,,,Adjective,,,Luxembourgish,Lüksemburg (sıfat),люксембургский,люксембурзький,لوکزامبورگی,لوكسمبورغي,3
140,A2,6,laender,main,Europa,,,Noun,,,Europe,Avrupa,Европа,Європа,اروپا,أوروبا,1
141,A2,6,laender,sub,Europäer,der,-,Noun,,,European (male),Avrupalı (erkek),европеец (муж.),європеєць,اروپایی (مرد),أوروبي (مذكر),2
142,A2,6,laender,sub,Europäerin,die,-nen,Noun,,,European (female),Avrupalı (kadın),европейка (жен.),європейка,اروپایی (زن),أوروبية (مؤنث),2
143,A2,6,laender,sub,europäisch,,,Adjective,,,European,Avrupa'ya ait,европейский,європейський,اروپایی,أوروبي,2
144,A2,6,waehrungen,section_title,Währung,die,-en,Noun,,,currency,para birimi,валюта,валюта,واحد پول / ارز,عملة,3
145,A2,6,masse,section_title,Maß,das,-e,Noun,,,unit of measurement,ölçü birimi,единица измерения,одиниця виміру,واحد اندازه‌گیری,وحدة قياس,2
146,A2,6,waehrungen,main,Euro,der,,Noun,,,euro,euro,евро,євро,یورو,يورو,1
147,A2,6,waehrungen,sub,Cent,der,,Noun,,,cent,cent,цент,цент,سنت,سنت,1
148,A2,6,waehrungen,main,Franken,der,-,Noun,,,franc (Swiss),Frank,франк (швейцарский),франк (швейцарський),فرانک (سوئیس),فرنك (سويسري),2
149,A2,6,waehrungen,sub,Rappen,der,-,Noun,,,rappen (Swiss cent),rappen,раппен (швейцарский цент),раппен,راپن (سنت سوئیس),راپن (سنت سويسري),3
150,A2,6,masse,main,Meter,der,,Noun,,,meter,metre,метр,метр,متر,متر,1
151,A2,6,masse,sub,Zentimeter,der,,Noun,,,centimeter,santimetre,сантиметр,сантиметр,سانتی‌متر,سنتيمتر,2
152,A2,6,masse,main,Kilometer,der,,Noun,,,kilometer,kilometre,километр,кілометр,کیلومتر,كيلومتر,2
153,A2,6,masse,main,Prozent,das,,Noun,,,percent,yüzde,процент,відсоток,درصد,بالمئة,2
154,A2,6,masse,main,Liter,der,,Noun,,,liter,litre,литр,літр,لیتر,لتر,2
155,A2,6,masse,main,Gramm,das,,Noun,,,gram,gram,грамм,грам,گرم,غرام,2
156,A2,6,masse,sub,Kilogramm,das,,Noun,,,kilogram,kilogram,килограмм,кілограм,کیلوگرم,كيلوغرام,2
157,A2,6,masse,main,Grad,der,,Noun,,,degree,derece,градус,градус,درجه,درجة,2
158,A2,6,schule,section_title,Schule,die,-n,Noun,,,school,okul,школа,школа,مدرسه,مدرسة,1
159,A2,6,schule,section_title,Schulfach,das,¨-er,Noun,,,school subject,ders,школьный предмет,шкільний предмет,درس / موضوع درسی,مادة دراسية,3
160,A2,6,schule,main,Abitur,das,,Noun,,,Abitur (university entrance exam),lise bitirme sınavı,абитур (экзамен для поступления в вуз),Abitur (іспит для вступу до університету),آبیتور (امتحان ورود به دانشگاه),أبيتور (امتحان الثانوية العامة / شهادة القبول الجامعي),3
161,A2,6,schule,main,Direktor,der,-en,Noun,,,headmaster / principal,müdür,директор школы / директор,директор школи,مدیر (مدرسه),مدير (مذكر),2
162,A2,6,schule,main,Hausaufgabe,die,-n,Noun,,,homework,ödev,домашнее задание,домашнє завдання,تکلیف خانه,واجب منزلي,3
163,A2,6,schule,main,Klasse,die,-n,Noun,,,class / grade,sınıf,класс,клас,کلاس / پایه,صف / درجة دراسية,1
164,A2,6,schule,main,Klassenfahrt,die,-en,Noun,,,school trip,okul gezisi,школьная поездка,шкільна поїздка,گردش مدرسه,رحلة مدرسية,3
165,A2,6,schule,main,Sekretariat,das,-e,Noun,,,secretary's office,sekreterlik,секретариат,секретаріат,دفتر منشی,مكتب السكرتارية,3
166,A2,6,schule,main,Stundenplan,der,¨-e,Noun,,,timetable / schedule,ders programı,расписание / график,розклад,برنامه درسی,جدول الحصص / جدول المواعيد,3
167,A2,6,schule,main,Biologie,,,Noun,,,biology,biyoloji,биология,біологія,زیست‌شناسی,علم الأحياء,2
168,A2,6,schule,main,Chemie,,,Noun,,,chemistry,kimya,химия,хімія,شیمی,الكيمياء,2
169,A2,6,schule,main,Deutsch,,,Noun,,,German (language,Almanca,немецкий язык,німецька мова,زبان آلمانی,اللغة الألمانية,1
170,A2,6,schule,main,Englisch,,,Noun,,,English (language),İngilizce,английский язык,англійська мова,زبان انگلیسی,اللغة الإنجليزية,1
171,A2,6,schule,main,Französisch,,,Noun,,,French (language),Fransızca,французский язык,французька мова,زبان فرانسوی,اللغة الفرنسية,2
172,A2,6,schule,main,Geografie,,,Noun,,,geography,coğrafya,география,географія,جغرافیا,الجغرافيا,2
173,A2,6,schule,main,Geschichte,,,Noun,,,history,tarih,история,історія,تاریخ,التاريخ,2
174,A2,6,schule,main,Kunst,die,,Noun,,,art,resim / sanat,искусство,мистецтво,هنر,الفن,1
175,A2,6,schule,main,Latein,,,Noun,,,Latin,Latince,латынь,латина,لاتین,اللاتينية,3
176,A2,6,schule,main,Mathematik,,,Noun,,,mathematics,matematik,математика,математика,ریاضیات,الرياضيات,2
177,A2,6,schule,main,Musik,die,,Noun,,,music,müzik,музыка,музика,موسیقی,الموسيقى,1
178,A2,6,schule,main,Physik,,,Noun,,,physics,fizik,физика,фізика,فیزیک,الفيزياء,2
179,A2,6,schule,main,Religion,die,-en,Noun,,,religion,din,религия,релігія,دین / مذهب,الدين,2
180,A2,6,schule,main,Sozialkunde,,,Noun,,,social studies / civics,sosyal bilgiler,обществознание / граждановедение,суспільствознавство,علوم اجتماعی,الدراسات الاجتماعية / التربية الوطنية,3
181,A2,6,schule,main,Sport,der,,Noun,,,PE / sports,beden eğitimi / spor,физкультура / спорт,фізкультура / спорт,ورزش / تربیت بدنی,التربية البدنية / الرياضة,1
182,A2,6,feiertage,section_title,Feiertag,der,-e,Noun,,,public holiday,resmi tatil,государственный праздник,державне свято,تعطیل رسمی,عطلة رسمية,2
183,A2,6,feiertage,main,Karneval,der,,Noun,,,carnival,karnaval,карнавал,карнавал,کارناوال,كرنفال,2
184,A2,6,feiertage,main,Ostern,,,Noun,,,Easter,Paskalya,Пасха,Великдень,عید پاک,عيد الفصح,2
185,A2,6,feiertage,main,Weihnachten,,,Noun,,,Christmas,Noel,Рождество,Різдво,کریسمس,عيد الميلاد,2
186,A2,6,feiertage,main,Neujahr,das,,Noun,,,New Year,Yeni Yıl,Новый год,Новий рік,سال نو,رأس السنة الجديدة,2
187,A2,6,feiertage,main,Silvester,,,Noun,,,New Year's Eve,Yılbaşı gecesi,канун Нового года,канун Нового року,شب سال نو,ليلة رأس السنة,2
188,A2,6,jahreszeiten,section_title,Jahreszeit,die,-en,Noun,,,season,mevsim,время года,пора року,فصل,فصل من فصول السنة,3
