id,level,source_page,section,entry_type,word,article,plural,word_type,translation_en,translation_tr,translation_ru,translation_uk,translation_fa,translation_ar,difficulty,category_id,example_de
28,A1,6,zahlen,main,achtzig,,,Number,eighty,seksen,восемьдесят,вісімдесят,هشتاد,ثمانون,6,1,Er ist achtzig Jahre alt.
29,A1,6,zahlen,main,neunzig,,,Number,ninety,doksan,девяносто,дев'яносто,نود,تسعون,6,1,Er ist neunzig.
30,A1,6,zahlen,main,hundert,,,Number,hundred,yüz,сто,сто,صد,مئة,6,1,Ein hundert ist hundert.
31,A1,6,zahlen,main,hunderteins,,,Number,one hundred and one,yüz bir,сто один,сто один,صد و یک,مئة وواحد,10,1,101 ist hunderteins.
32,A1,6,zahlen,main,zweihundert,,,Number,two hundred,iki yüz,двести,двісті,دویست,مئتان,10,1,Zweihundert Leute kamen.
33,A1,6,zahlen,main,tausend,,,Number,thousand,bin,тысяча,тисяча,هزار,ألف,6,1,Tausend Euro sind teuer.
34,A1,6,zahlen,main,Million,die,-en,Noun,million,milyon,миллион,мільйон,میلیون,مليون,8,1,Eine Million Menschen leben hier.
35,A1,6,zahlen,main,Milliarde,die,-en,Noun,billion,milyar,миллиард,мільярд,میلیارد,مليار,9,1,Eine Milliarde ist sehr viel.
36,A1,6,zahlen,main,erste,,,Number,first,birinci,первый,перший,اول,الأول,4,1,Er ist der erste.
37,A1,6,zahlen,main,zweite,,,Number,second,ikinci,второй,другий,دوم,الثاني,5,1,Sie ist die zweite in der Klasse.
38,A1,6,zahlen,main,dritte,,,Number,third,üçüncü,третий,третій,سوم,الثالث,5,1,Er ist der dritte.
39,A1,6,zahlen,main,vierte,,,Number,fourth,dördüncü,четвёртый,четвертий,چهارم,الرابع,5,1,Das ist die vierte Seite.
40,A1,6,zahlen,main,Datum,das,,Noun,date,tarih,дата,дата,تاریخ,تاريخ,8,1,Welches Datum ist heute?
41,A1,6,zahlen,main,halb,,,Other,half,yarım,половина,половина,نیم,نصف,1,1,Es ist halb sieben.
42,A1,6,zahlen,main,Viertel,das,,Noun,quarter,çeyrek,четверть,чверть,ربع,ربع,6,1,Es ist Viertel nach neun.
43,A1,7,uhrzeit,section_title,Uhrzeit,die,,Noun,time of day,saat / günün zamanı,время суток,час доби,زمان روز,وقت اليوم,6,2,Die Uhrzeit ist wichtig.
44,A1,7,uhrzeit,main,Sekunde,die,-n,Noun,second,saniye,секунда,секунда,ثانیه,ثانية,3,2,Eine Sekunde ist kurz.
45,A1,7,uhrzeit,main,Minute,die,-n,Noun,minute,dakika,минута,хвилина,دقیقه,دقيقة,3,2,Eine Minute hat sechzig Sekunden.
46,A1,7,uhrzeit,main,Stunde,die,-n,Noun,hour,saat,час,година,ساعت,ساعة,3,2,Eine Stunde dauert sechzig Minuten.
47,A1,7,zeitmaße,section_title,Zeitmaß,das,-e,Noun,unit of time,zaman birimi,единица времени,одиниця часу,واحد زمان,وحدة زمن,8,1,Das Zeitmaß ist wichtig.
48,A1,7,zeitmaße,section_title,Zeitangabe,die,-n,Noun,time expression,zaman ifadesi,указание времени,позначення часу,عبارت زمانی,تعبير زمني,9,1,Die Zeitangabe steht auf dem Formular.
49,A1,7,zeitmaße,main,Tag,der,-e,Noun,day,gün,день,день,روز,يوم,1,1,Heute ist ein schöner Tag.
50,A1,7,zeitmaße,main,Woche,die,-n,Noun,week,hafta,неделя,тиждень,هفته,أسبوع,2,1,Eine Woche hat sieben Tage.
51,A1,7,zeitmaße,main,Jahr,das,-e,Noun,year,yıl,год,рік,سال,سنة,1,1,Ein Jahr hat zwölf Monate.
52,A1,7,woche,section_title,Wochentag,der,-e,Noun,weekday,hafta günü,день недели,день тижня,روز هفته,يوم الأسبوع,9,2,Die Wochentage sind wichtig.
53,A1,7,woche,main,Wochenende,das,,Noun,weekend,hafta sonu,выходные,вихідні,آخر هفته,عطلة نهاية الأسبوع,9,2,Am Wochenende schlafe ich lange.
54,A1,7,woche,main,Sonntag,der,,Noun,Sunday,Pazar,воскресенье,неділя,یکشنبه,الأحد,3,2,Am Sonntag haben viele Leute frei.
55,A1,7,woche,main,Montag,der,,Noun,Monday,Pazartesi,понедельник,понеділок,دوشنبه,الاثنين,3,2,Am Montag arbeite ich.
56,A1,7,woche,main,Dienstag,der,,Noun,Tuesday,Sali,вторник,вівторок,سه‌شنبه,الثلاثاء,7,2,Dienstag ist mein freier Tag.
57,A1,7,woche,main,Mittwoch,der,,Noun,Wednesday,Çarşamba,среда,середа,چهارشنبه,الأربعاء,7,2,Mittwoch ist die Wochenmitte.
58,A1,7,woche,main,Donnerstag,der,,Noun,Thursday,Perşembe,четверг,четвер,پنج‌شنبه,الخميس,7,2,Am Donnerstag habe ich Schule.
59,A1,7,woche,main,Freitag,der,,Noun,Friday,Cuma,пятница,п'ятниця,جمعه,الجمعة,3,2,Am Freitag ist Feierabend.
60,A1,7,woche,main,Samstag,der,,Noun,Saturday,Cumartesi,суббота,субота,شنبه,السبت,3,2,Samstag kaufe ich ein.
61,A1,7,woche,sub,Sonnabend,der,,Noun,Saturday (northern German),Cumartesi (Kuzey Almanya),суббота (северная Германия),субота (північна Німеччина),شنبه (آلمان شمالی),السبت (شمال ألمانيا),7,2,Sonnabend ist ein anderes Wort für Samstag.
62,A1,7,tageszeiten,section_title,Tageszeit,die,-en,Noun,time of day,günün saati,время суток,час доби,زمان روز,وقت اليوم,9,2,Die Tageszeit beeinflusst die Stimmung.
63,A1,7,tageszeiten,main,Morgen,der,,Noun,morning,sabah,утро,ранок,صبح,صباح,3,2,Am Morgen trinke ich Kaffee.
64,A1,7,tageszeiten,main,Vormittag,der,-e,Noun,late morning,öğleden önce,позднее утро,пізній ранок,اواخر صبح,الضحى,7,2,Am Vormittag habe ich Unterricht.
65,A1,7,tageszeiten,main,Mittag,der,,Noun,noon,öğle,полдень,полудень,ظهر,ظهر,3,2,Zum Mittag esse ich.
66,A1,7,tageszeiten,main,Nachmittag,der,-e,Noun,afternoon,öğleden sonra,после полудня,після полудня,بعد از ظهر,بعد الظهر,7,2,Am Nachmittag gehe ich spazieren.
67,A1,7,tageszeiten,main,Abend,der,-e,Noun,evening,akşam,вечер,вечір,عصر,مساء,2,2,Am Abend sehe ich fern.
68,A1,7,tageszeiten,main,Nacht,die,¨-e,Noun,night,gece,ночь,ніч,شب,ليل,2,2,In der Nacht schlafe ich.
69,A1,7,monat,section_title,Monat,der,-e,Noun,month,ay,месяц,місяць,ماه,شهر,4,2,Der Monat hat vier Wochen.
70,A1,7,monat,section_title,Monatsname,der,-n,Noun,name of the month,ay adı,название месяца,назва місяця,نام ماه,اسم الشهر,9,2,Der Monatsname ist Januar.
71,A1,7,monat,main,Januar,der,,Noun,January,Ocak,январь,січень,ژانویه,يناير,5,2,Im Januar ist es kalt.
72,A1,7,monat,main,Februar,der,,Noun,February,Şubat,февраль,лютий,فوریه,فبراير,6,2,Im Februar liegt oft Schnee.
73,A1,7,monat,main,März,der,,Noun,March,Mart,март,березень,مارس,مارس,1,2,Im März beginnt der Frühling.
74,A1,7,monat,main,April,der,,Noun,April,Nisan,апрель,квітень,آوریل,أبريل,2,2,Im April regnet es viel.
75,A1,7,monat,main,Mai,der,,Noun,May,Mayıs,май,травень,مه,مايو,1,2,Im Mai blühen die Blumen.
76,A1,7,monat,main,Juni,der,,Noun,June,Haziran,июнь,червень,ژوئن,يونيو,4,2,Im Juni beginnt der Sommer.
77,A1,7,monat,main,Juli,der,,Noun,July,Temmuz,июль,липень,ژوئیه,يوليو,4,2,Im Juli fahre ich in Urlaub.
78,A1,7,monat,main,August,der,,Noun,August,Ağustos,август,серпень,آگوست,أغسطس,5,2,Im August ist es sehr heiß.
79,A1,7,monat,main,September,der,,Noun,September,Eylül,сентябрь,вересень,سپتامبر,سبتمبر,7,2,Im September beginnt die Schule wieder.
80,A1,7,monat,main,Oktober,der,,Noun,October,Ekim,октябрь,жовтень,اکتبر,أكتوبر,6,2,Im Oktober wird es kühler.
81,A1,7,monat,main,November,der,,Noun,November,Kasım,ноябрь,листопад,نوامبر,نوفمبر,7,2,Im November ist es oft grau.
82,A1,7,monat,main,Dezember,der,,Noun,December,Aralık,декабрь,грудень,دسامبر,ديسمبر,7,2,Im Dezember ist Weihnachten.
83,A1,8,jahreszeiten,section_title,Jahreszeit,die,-en,Noun,season,mevsim,время года,пора року,فصل,فصل,9,2,Die Jahreszeiten sind vier.
84,A1,8,jahreszeiten,main,Frühling,der,,Noun,spring,ilkbahar,весна,весна,بهار,ربيع,7,2,Im Frühling blühen die Bäume.
85,A1,8,jahreszeiten,sub,Frühjahr,das,,Noun,spring,ilkbahar,весна,весна,بهار,ربيع,7,2,Im Frühjahr ist das Wetter mild.
86,A1,8,jahreszeiten,main,Sommer,der,,Noun,summer,yaz,лето,літо,تابستان,صيف,3,2,Im Sommer schwimme ich gern.
87,A1,8,jahreszeiten,main,Herbst,der,,Noun,autumn,sonbahar,осень,осінь,پاییز,خريف,3,2,Im Herbst fallen die Blätter.
88,A1,8,jahreszeiten,main,Winter,der,,Noun,winter,kış,зима,зима,زمستان,شتاء,3,2,Im Winter ist es kalt.
89,A1,8,waehrungen,section_title,Währung,die,-en,Noun,currency,para birimi,валюта,валюта,ارز,عملة,6,12,Die Währung ist wichtig beim Reisen.
90,A1,8,waehrungen,main,Euro,der,,Noun,euro,euro,евро,євро,یورو,يورو,1,12,Der Euro ist die Währung in Deutschland.
91,A1,8,waehrungen,sub,Cent,der,,Noun,cent,cent,цент,цент,سنت,سنت,1,12,Ein Euro hat hundert Cent.
92,A1,8,masse,section_title,Maß,das,-e,Noun,measure / unit,ölçü / birim,мера / единица,міра / одиниця,واحد / اندازه,مقياس / وحدة,4,1,Maße und Einheiten sind wichtig.
93,A1,8,masse,section_title,Gewicht,das,-e,Noun,weight,ağırlık,вес,вага,وزن,وزن,6,1,Das Gewicht ist fünf Kilo.
94,A1,8,masse,main,Meter,der,,Noun,meter,metre,метр,метр,متر,متر,2,1,Der Raum ist drei Meter breit.
95,A1,8,masse,sub,Zentimeter,der,,Noun,centimeter,santimetre,сантиметр,сантиметр,سانتی‌متر,سنتيمتر,7,1,Der Stift ist fünfzehn Zentimeter lang.
96,A1,8,masse,main,Kilometer,der,,Noun,kilometer,kilometre,километр,кілометр,کیلومتر,كيلومتر,7,1,Die Stadt ist zehn Kilometer entfernt.
97,A1,8,masse,main,Quadratmeter,der,,Noun,square meter,metrekare,квадратный метр,квадратний метр,متر مربع,متر مربع,10,1,Die Wohnung hat fünfzig Quadratmeter.
98,A1,8,masse,main,Grad,der,,Noun,degree,derece,градус,градус,درجه,درجة,1,1,Die Temperatur ist zwanzig Grad.
99,A1,8,masse,main,Prozent,das,,Noun,percent,yüzde,процент,відсоток,درصد,بالمئة,6,1,Es gibt zwanzig Prozent Rabatt.
100,A1,8,masse,main,Liter,der,,Noun,liter,litre,литр,літр,لیتر,لتر,2,1,Die Flasche hat zwei Liter Wasser.
101,A1,8,masse,main,Gramm,das,,Noun,gram,gram,грамм,грам,گرم,غرام,2,1,Das Paket wiegt hundert Gramm.
102,A1,8,masse,sub,Pfund,das,,Noun,pound,pound (yabancı),фунт,фунт,پوند,رطل,4,1,Das Paket wiegt ein Pfund.
103,A1,8,masse,main,Kilogramm,das,,Noun,kilogram,kilogram,килограмм,кілограм,کیلوگرم,كيلوغرام,9,1,Das Kilo wiegt ein Kilogramm.
104,A1,8,laender,section_title,Land,das,¨-er,Noun,country,ülke,страна,країна,کشور,دولة,1,20,Das Land ist groß.
105,A1,8,laender,section_title,Ländername,der,-n,Noun,country name,ülke adı,название страны,назва країни,نام کشور,اسم الدولة,9,20,Der Ländername ist bekannt.
106,A1,8,laender,section_title,Nationalität,die,-en,Noun,nationality,uyruk,национальность,національність,ملیت,جنسية,10,20,Er hat eine andere Nationalität.
107,A1,8,laender,main,Deutschland,,,Noun,Germany,Almanya,Германия,Німеччина,آلمان,ألمانيا,7,20,Deutschland ist ein Land in Europa.
108,A1,8,laender,sub,Deutschen,der/die,-n,Noun,Germans,Almanlar,немцы,німці,آلمانی‌ها,الألمان,7,20,Die Deutschen sprechen Deutsch.
109,A1,8,laender,main,Europa,,,Noun,Europe,Avrupa,Европа,Європа,اروپا,أوروبا,5,20,Europa besteht aus vielen Ländern.
110,A1,8,laender,sub,Europäer,der,,Noun,European,Avrupalı,европеец,європеєць,اروپایی,أوروبي,9,20,Die Europäer reisen gern.
111,A1,8,laender,sub,europäisch,,,Adjective,European,Avrupaya ait / Avrupalı,европейский,європейський,اروپایی,أوروبي,9,20,Das Produkt ist europäisch.
112,A1,8,farben,section_title,Farbe,die,-n,Noun,color,renk,цвет,колір,رنگ,لون,2,21,Welche Farbe magst du?
113,A1,8,farben,main,schwarz,,,Adjective,black,siyah,чёрный,чорний,سیاه,أسود,3,21,Das Hemd ist schwarz.
114,A1,8,farben,main,grau,,,Adjective,gray,gri,серый,сірий,خاکستری,رمادي,1,21,Das Auto ist grau.
115,A1,8,farben,main,blau,,,Adjective,blue,mavi,синий,синій,آبی,أزرق,1,21,Der Himmel ist blau.
116,A1,8,farben,main,grün,,,Adjective,green,yeşil,зелёный,зелений,سبز,أخضر,1,21,Das Gras ist grün.
117,A1,8,farben,main,weiß,,,Adjective,white,beyaz,белый,білий,سفید,أبيض,1,21,Die Wand ist weiß.
118,A1,8,farben,main,rot,,,Adjective,red,kırmızı,красный,червоний,قرمز,أحمر,1,21,Die Blume ist rot.
119,A1,8,farben,main,gelb,,,Adjective,yellow,sarı,жёлтый,жовтий,زرد,أصفر,1,21,Die Sonne ist gelb.
120,A1,8,farben,main,braun,,,Adjective,brown,kahverengi,коричневый,коричневий,قهوه‌ای,بني,2,21,Der Hund ist braun.
121,A1,8,himmelsrichtungen,section_title,Himmelsrichtung,die,-en,Noun,compass direction,yön,сторона света,сторона світу,جهت جغرافیایی,اتجاه جغرافي,10,20,Norden ist eine Himmelsrichtung.
122,A1,8,himmelsrichtungen,main,Norden,der,,Noun,north,kuzey,север,північ,شمال,شمال,5,20,Der Norden ist kalt.
123,A1,8,himmelsrichtungen,main,Süden,der,,Noun,south,güney,юг,південь,جنوب,جنوب,4,20,Im Süden ist es warm.
124,A1,8,himmelsrichtungen,main,Westen,der,,Noun,west,batı,запад,захід,غرب,غرب,5,20,Der Westen liegt dort.
125,A1,8,himmelsrichtungen,main,Osten,der,,Noun,east,doğu,восток,схід,شرق,شرق,4,20,Im Osten geht die Sonne auf.
126,A1,9,A,main,ab,,,Other,from / off,- / -den / -den,от,з / від,از,من / عن,1,21,Der Zug fährt ab.
127,A1,9,A,main,aber,,,Other,but,ama,но,але,اما,لكن,1,21,Ich wollte kommen, aber ich bin krank.
128,A1,9,A,main,abfahren,,,Verb,to depart,ayrılmak / hareket etmek,отправляться,відправлятися,حرکت کردن,يغادر,9,11,Der Zug fährt um acht Uhr ab.
129,A1,9,A,sub,Abfahrt,die,,Noun,departure,kalkış / ayrılış,отправление,відправлення,عزیمت,مغادرة,8,11,Die Abfahrt ist um zehn.
130,A1,9,A,main,abgeben,,,Verb,to hand in,teslim etmek,сдать,здати,تحویل دادن,يسلّم,8,21,Ich muss das Paket abgeben.
131,A1,9,A,main,abholen,,,Verb,to pick up,almak,забрать,забирати,برداشتن,يستلم,8,21,Kannst du mich abholen?
132,A1,9,A,main,Absender,der,,Noun,sender,gönderen,отправитель,відправник,فرستنده,مُرسِل,9,13,Der Absender steht auf dem Brief.
133,A1,9,A,main,Achtung,,,Other,attention / caution,uyarı / dikkat,внимание / осторожность,увага / обережно,احتیاط,انتباه / تحذير,6,21,Achtung! Rutschgefahr.
134,A1,9,A,main,Adresse,die,-en,Noun,address,adres,адрес,адреса,آدرس,عنوان,6,13,Schreib bitte deine Adresse.
135,A1,9,A,main,all-,,,Other,all- (prefix),tüm- (önek),весь- (приставка),весь- (префікс),همه-,كل- (بادئة),4,21,Das Wort kann mit dem Präfix all- beginnen.
136,A1,9,A,main,allein,,,Other,alone,yalnız,одинокий,сам,تنها,وحده,5,21,Ich bin heute allein zu Hause.
137,A1,9,A,main,also,,,Other,so / therefore,yani / bu yüzden,так / поэтому,отже,بنابراین,إذن / لذلك,1,21,Also, wir gehen jetzt.
138,A1,9,A,main,alt,,,Other,old,yaşlı / eski,старый,старий,قدیمی,قديم,1,21,Meine Großmutter ist alt.
139,A1,9,A,main,Alter,das,,Noun,age,yaş,возраст,вік,سن,عمر,4,21,Wie ist dein Alter?
140,A1,9,A,main,an,,,Other,at / on / to, -de / -da / -e (bağlamına göre),в / на / к (в зависимости от контекста),в / на / до,در / روی / به,في / على / إلى,1,21,Ich warte an der Bushaltestelle.
141,A1,9,A,main,anbieten,,,Verb,to offer,sunmak,предлагать,пропонувати,پیشنهاد دادن,يعرض,9,21,Er bietet mir Kaffee an.
142,A1,9,A,sub,Angebot,das,-e,Noun,offer,teklif,предложение,пропозиція,پیشنهاد,عرض,6,12,Das Angebot ist gut.
143,A1,9,A,main,ander-,,,Other,other- (prefix),başka- (önek),другой- (приставка),інший- (префікс),دیگر-,آخر- (بادئة),5,21,Das Wort hat das Präfix ander-.
144,A1,9,A,main,anfangen,,,Verb,to begin,başlamak,начинать,починати,شروع کردن,يبدأ,9,2,Wir fangen jetzt an.
145,A1,9,A,sub,Anfang,der,,Noun,beginning,başlangıç,начало,початок,آغاز,بداية,5,2,Der Anfang ist schwer.
146,A1,9,A,main,anklicken,,,Verb,to click on,tıklamak,нажать (кликнуть),натиснути,کلیک کردن,ينقر على,9,17,Klick auf den Link.
147,A1,9,A,main,ankommen,,,Verb,to arrive,varmak,прибывать,прибувати,رسیدن,يصل,9,11,Der Zug kommt um neun an.
148,A1,9,A,main,Ankunft,die,,Noun,arrival,varış,прибытие,прибуття,ورود,وصول,8,11,Die Ankunft ist pünktlich.
149,A1,9,A,main,ankreuzen,,,Verb,to check / tick,işaretlemek / tik atmak,отметить (крестиком),поставити галочку,علامت زدن,يضع علامة,9,13,Kreuzen Sie die richtige Antwort an.
150,A1,9,A,main,anmachen,,,Verb,to switch on,açmak (elektrikli cihaz),включать,увімкнути,روشن کردن,يشغّل,9,17,Mach das Licht an.
151,A1,9,A,main,anmelden,,,Verb,to register / log in,kayıt olmak / giriş yapmak,зарегистрироваться / войти,зареєструватися / увійти,ثبت نام کردن / وارد شدن,يسجّل / يسجّل الدخول,9,17,Ich muss mich online anmelden.
152,A1,9,A,main,Anrede,die,,Noun,salutation / form of address,hitap / selamlama,обращение / форма обращения,форма звертання,عنوان خطاب,لقب / صيغة المخاطبة,8,13,Die Anrede steht oben im Brief.
153,A1,9,A,main,anrufen,,,Verb,to call / phone,aramak,позвонить,дзвонити,تماس گرفتن,يتصل / يهاتف,8,13,Ich rufe dich später an.
154,A1,9,A,main,Anruf,der,-e,Noun,phone call,telefon araması,телефонный звонок,телефонний дзвінок,تماس تلفنی,مكالمة هاتفية,4,13,Der Anruf war wichtig.
155,A1,9,A,sub,Anruf-,der,,Noun,phone call (compound prefix),arama- (önek),звонок- (приставка),дзвінок- (префікс),تماس-,مكالمة- (بادئة),5,13,Das Wort beginnt oft mit Anruf-.
156,A1,10,A,main,Ansage,die,-n,Noun,announcement,anons / duyuru,объявление,оголошення,اعلامیه,إعلان,8,13,Die Ansage im Bahnhof ist laut.
157,A1,10,A,main,Anschluss,der,,Noun,connection,bağlantı,пересадка / соединение,з'єднання / пересадка,اتصال,اتصال,9,17,Der Anschluss ist knapp.
158,A1,10,A,main,an sein,,,Other,to be on,açık olmak / çalışıyor olmak,быть включённым,бути увімкненим,روشن بودن,يكون مشغّلاً,8,21,Das Radio ist an.
159,A1,10,A,main,antworten,,,Verb,to answer,cevaplamak,отвечать,відповідати,جواب دادن,يجيب,7,13,Bitte antworte mir.
160,A1,10,A,sub,Antwort,die,-en,Noun,answer,cevap,ответ,відповідь,پاسخ,جواب,6,13,Die Antwort ist richtig.
161,A1,10,A,main,Anzeige,die,-n,Noun,advertisement / notice,ilan / duyuru,объявление / уведомление,оголошення / реклама,اطلاعیه,إعلان / إشعار,8,13,Die Anzeige ist groß.
162,A1,10,A,main,anziehen,,,Verb,to put on (clothes),giymek,надевать,одягати,پوشیدن,يرتدي,9,7,Zieh deine Jacke an.
163,A1,10,A,main,Apartment,das,-s,Noun,apartment,daire,квартира,квартира,آپارتمان,شقة,9,6,Das Apartment ist klein.
164,A1,10,A,main,Apfel,der,,Noun,apple,elma,яблоко,яблуко,سیب,تفاحة,2,5,Der Apfel ist rot.
165,A1,10,A,main,Appetit,der,,Noun,appetite,iştah,аппетит,апетит,اشتها,شهية,8,5,Guten Appetit!
166,A1,10,A,main,arbeiten,,,Verb,to work,çalışmak,работать,працювати,کار کردن,يعمل,7,8,Ich arbeite jeden Tag.
167,A1,10,A,sub,Arbeit,die,-en,Noun,work / job,iş / çalışma,работа / труд,робота,کار,عمل / وظيفة,5,8,Die Arbeit beginnt um acht.
168,A1,10,A,main,arbeitslos,,,Other,unemployed,işsiz,безработный,безробітний,بیکار,عاطل عن العمل,9,8,Er ist arbeitslos.
169,A1,10,A,main,Arbeitsplatz,der,"-ä, e",Noun,workplace,iş yeri,рабочее место,робоче місце,محل کار,مكان العمل,10,8,Mein Arbeitsplatz ist im Büro.
170,A1,10,A,main,Arm,der,-e,Noun,arm,kol,рука,рука,بازو,ذراع,1,4,Er hat einen starken Arm.
171,A1,10,A,main,Arzt,der,,Noun,doctor,doktor,врач,лікар,دکتر,طبيب,4,8,Der Arzt hilft den Patienten.
172,A1,10,A,main,auch,,,Other,also / too,de ayrıca,тоже,також,همچنین,أيضاً,1,21,Ich komme auch.
173,A1,10,A,main,auf,,,Other,on / onto,üzerinde / -e doğru,на / к,на,روی / به,على / فوق,1,21,Das Buch liegt auf dem Tisch.
174,A1,10,A,main,Aufgabe,die,-n,Noun,task / exercise,görev / alıştırma,задание / упражнение,завдання,وظیفه / تمرین,مهمة / تمرين,8,13,Die Aufgabe ist leicht.
175,A1,10,A,main,aufhören,,,Verb,to stop / quit,durmak / bırakmak,переставать / прекращать,припиняти,متوقف شدن,يتوقف / يترك,9,2,Hör bitte auf!
176,A1,10,A,main,auf sein,,,Other,to be open / awake,açık / uyanık olmak,быть открытым / бодрствующим,бути відкритим,باز بودن / بیدار بودن,يكون مفتوحاً / مستيقظاً,8,21,Das Geschäft ist auf.
177,A1,10,A,main,aufstehen,,,Verb,to get up,ayağa kalkmak,вставать,вставати,بلند شدن,يقوم / ينهض,9,21,Ich stehe um sieben auf.
178,A1,10,A,main,Aufzug,der,"-ü, e",Noun,elevator / lift,asansör,лифт,ліфт,آسانسور,مصعد,8,6,Nimm den Aufzug nach oben.
179,A1,10,A,main,Auge,das,-n,Noun,eye,göz,глаз,око,چشم,عين,1,4,Sein Auge ist blau.
180,A1,10,A,main,aus,,,Other,from / out of,-den / -dan,из,з / із,از,من / خارج,1,21,Ich komme aus Deutschland.
181,A1,10,A,main,Ausflug,der,,Noun,excursion / day trip,gezinti / günlük gezi,экскурсия / прогулка,екскурсія,گردش,رحلة قصيرة,8,15,Wir machen einen Ausflug.
182,A1,10,A,main,ausfüllen,,,Verb,to fill in,doldurmak,заполнить,заповнити,پر کردن,يملأ,9,21,Fülle das Formular aus.
183,A1,10,A,main,Ausgang,der,,Noun,exit,çıkış,выход,вихід,خروج,مخرج,8,6,Der Ausgang ist rechts.
184,A1,10,A,main,Auskunft,die,"-ü, e",Noun,information,bilgi,информация,інформація,اطلاعات,معلومات,9,13,Frag an der Auskunft nach.
185,A1,10,A,main,Ausland,das,,Noun,abroad,yurtdışı,зарубежье,за кордоном,خارج از کشور,خارج البلاد,8,10,Ich reise ins Ausland.
