id,level,source_page,section,entry_type,word,article,plural,word_type,verb_present,verb_past,verb_perfect,translation_en,translation_tr,translation_ru,translation_uk,translation_fa,translation_ar,difficulty,category_id,example_de
12,B1,9,anglizismen,main,Swimmingpool,der,-sdas,Noun,,,,swimming pool,yüzme havuzu,бассейн,басейн,استخر,مسبح,10,13,Das Hotel hat einen großen Swimmingpool im Garten.
13,B1,9,anweisungssprache,main,Aufgabe,die,-n,Noun,,,,task / exercise,görev / alıştırma,задание / упражнение,завдання / вправа,تکلیف / تمرین,مهمة,5,13,"Die erste Aufgabe war einfach, aber die zweite war viel schwieriger."
14,B1,9,anweisungssprache,main,ankreuzen,,,Verb,,,,to tick / cross (a box),işaretlemek / çapraz koymak,отметить (крестиком),позначати (хрестиком),علامت زدن / تیک یا ضربدر زدن,يضع علامة,7,13,Bitte kreuzen Sie die richtige Antwort auf dem Bogen an.
15,B1,9,anweisungssprache,main,Antwortbogen,der,,Noun,,,,answer sheet,cevap kâğıdı,лист ответов,аркуш відповідей,برگه پاسخ,ورقة إجابات,10,13,Schreiben Sie Ihre Antworten auf den Antwortbogen.
16,B1,9,anweisungssprache,main,Anzeige,die,-n,Noun,,,,advertisement / notice,ilan / duyuru,объявление / уведомление,оголошення / повідомлення,آگهی / اطلاعیه,إعلان,5,13,"Er hat eine Anzeige aufgegeben, weil er eine Wohnung sucht."
17,B1,9,anweisungssprache,main,richtig,,,Other,,,,correct / right,doğru,правильный / верный,правильний / вірний,درست / صحیح,صحيح,3,13,Deine Antwort ist richtig – herzlichen Glückwunsch!
18,B1,9,anweisungssprache,main,Durchsage,die,-n,Noun,,,,announcement,anons / duyuru,объявление,оголошення,اعلام / اطلاعیه,إعلان صوتي,8,13,Am Bahnhof kam eine Durchsage über die Verspätung des Zuges.
19,B1,9,anweisungssprache,main,Einleitung,die,-en,Noun,,,,introduction,giriş,введение,вступ,مقدمه,مقدمة,8,13,Die Einleitung des Aufsatzes soll das Thema kurz vorstellen.
20,B1,9,anweisungssprache,main,Folie,die,-n,Noun,,,,transparency / slide / foil,asetat / slayt / folyo,прозрачная плёнка / слайд / фольга,плівка / слайд / фольга,طلق / اسلاید / فویل,شريحة عرض,3,13,Der Lehrer hat die Grafik auf einer Folie an die Wand projiziert.
21,B1,9,anweisungssprache,main,Hilfsmittel,das,-,Noun,,,,aid / resource / tool,yardımcı araç / kaynak,вспомогательное средство / ресурс / инструмент,допоміжний засіб / ресурс / інструмент,وسیله کمکی / منبع / ابزار,أداة مساعدة,9,13,Bei der Prüfung sind keine Hilfsmittel wie Wörterbücher erlaubt.
22,B1,9,anweisungssprache,main,Kommentar,der,-e,Noun,,,,comment / commentary,yorum,комментарий,коментар,نظر / توضیح,تعليق,7,13,Ich habe einen Kommentar unter dem Artikel hinterlassen.
23,B1,9,anweisungssprache,main,lösen,,,Verb,löst,löste,,to solve,çözmek,решать,вирішувати / розв'язувати,حل کردن,يحل,4,13,Er hat das mathematische Problem schnell und richtig gelöst.
24,B1,9,anweisungssprache,main,Moderator,der,-en,Noun,,,,moderator / presenter,moderatör / sunucu,модератор / ведущий,модератор / ведучий,مجری / گرداننده,مقدم برنامج,8,13,Der Moderator hat die Diskussion sehr professionell geleitet.
25,B1,9,anweisungssprache,main,Modul,das,-e,Noun,,,,module,modül,модуль,модуль,ماژول,وحدة,4,13,Im nächsten Modul des Kurses lernen wir Grammatik.
26,B1,9,anweisungssprache,main,Präsentation,die,-en,Noun,,,,presentation,sunum,презентация,презентація,ارائه,عرض تقديمي,10,13,Sie hat eine tolle Präsentation über Klimawandel gehalten.
27,B1,9,anweisungssprache,main,Punkt,der,-e,Noun,,,,point,nokta,пункт,пункт / крапка,نکته / امتیاز / نقطه,نقطة,3,13,Für jede richtige Antwort bekommst du einen Punkt.
28,B1,9,anweisungssprache,main,Rückmeldung,die,-en,Noun,,,,feedback,geri bildirim,обратная связь,зворотний зв'язок,بازخورد,تغذية راجعة,9,13,Die Rückmeldung der Lehrerin war sehr hilfreich für mich.
29,B1,9,anweisungssprache,main,Struktur,die,-en,Noun,,,,structure,yapı,структура,структура,ساختار,هيكل,7,13,Der Text hat eine klare und logische Struktur.
30,B1,9,anweisungssprache,main,Textaufbau,der,,Noun,,,,text structure,metin yapısı,структура текста,структура тексту,ساختار متن,بنية النص,8,13,"Ein guter Textaufbau besteht aus Einleitung, Hauptteil und Schluss."
31,B1,9,anweisungssprache,main,übertragen,,,Verb,,,,to transfer / transcribe,aktarmak / kopyalamak,переносить / переписывать,переносити / переписувати,منتقل کردن / رونویسی کردن,ينقل,8,13,Er hat die handschriftlichen Notizen auf den Computer übertragen.
32,B1,9,anweisungssprache,main,zuordnen,,,Verb,ordnet zu,ordnete zu,,to assign / match,atamak / eşleştirmek,соотносить / распределять,співвідносити / розподіляти,اختصاص دادن / تطبیق دادن,يربط,7,13,Ordne bitte die Definitionen den richtigen Wörtern zu.
33,B1,10,bildungseinrichtungen,main,Österreich,,,Other,,,,Austria,Avusturya,Австрия,Австрія,اتریش,النمسا,7,20,Österreich ist ein schönes Land in Mitteleuropa.
34,B1,11,schulnoten,main,Österreich,,,Other,,,,Austria,Avusturya,Австрия,Австрія,اتریش,النمسا,7,20,Jedes Jahr besuchen Millionen von Touristen Österreich.
35,B1,11,himmelsrichtungen,main,Norden,der,,Noun,,,,north,kuzey,север,північ,شمال,الشمال,4,20,Hamburg liegt im Norden Deutschlands direkt an der Elbe.
36,B1,11,himmelsrichtungen,main,Osten,der,,Noun,,,,east,doğu,восток,схід,شرق,الشرق,4,20,Dresden liegt im Osten Deutschlands nahe der tschechischen Grenze.
37,B1,11,himmelsrichtungen,main,-östlich,,,Other,,,,(direction suffix),(yön eki),(суффикс направления),(суфікс напрямку),پسوند جهت,شرقي,7,20,Berlin liegt nordöstlich von Leipzig.
38,B1,11,himmelsrichtungen,main,Süden,der,,Noun,,,,south,güney,юг,південь,جنوب,الجنوب,4,20,In Süddeutschland liegt das bekannte Bundesland Bayern.
39,B1,12,himmelsrichtungen,main,Deutsche,der,-ndie,Noun,,,,German (person),Alman (kişi),немец,німець / німка,آلمانی / شخص آلمانی,ألماني,3,20,Er ist Deutscher und lebt seit vielen Jahren in Berlin.
40,B1,12,himmelsrichtungen,main,Europa,der,,Noun,,,,Europe / European,Avrupa / Avrupalı,Европа / европейский,Європа / європейський,اروپا / اروپایی,أوروبا,3,20,In Europa gibt es viele verschiedene Sprachen und Kulturen.
41,B1,12,himmelsrichtungen,main,Europäerin,die,-nen,Noun,,,,European (female),Avrupalı (kadın),европейка (жен.),європейка (жін.),اروپایی (زن),أوروبية,8,20,Sie ist Europäerin und reist gerne durch verschiedene Länder.
42,B1,12,himmelsrichtungen,main,europäisch,,,Other,,,,European,Avrupalı,европейский,європейський,اروپایی,أوروبي,8,20,Das ist ein wichtiges europäisches Thema.
43,B1,12,himmelsrichtungen,main,Österreicher,der,-die,Noun,,,,Austrian (male),Avusturyalı (erkek),австриец (муж.),австрієць (чол.),اتریشی (مرد),نمساوي,10,20,Der Österreicher kommt aus Wien und spricht sehr gut Deutsch.
44,B1,12,laender,main,Türkei,die,,Noun,,,,Turkey,Türkiye,Турция,Туреччина,ترکیه,تركيا,4,20,Die Türkei liegt zwischen Europa und Asien.
45,B1,12,laender,main,Ukraine,die,,Noun,,,,Ukraine,Ukrayna,Украина,Україна,اوکراین,أوكرانيا,5,20,Die Ukraine ist das flächenmäßig größte Land innerhalb Europas.
46,B1,12,laender,main,Ukrainer,der,,Noun,,,,Ukrainian (male),Ukraynalı (erkek),украинец (муж.),українець (чол.),اوکراینی (مرد),أوكراني,7,20,Der Ukrainer hat in Deutschland eine neue Arbeit gefunden.
47,B1,12,politische_begriffe,main,Bund,der,,Noun,,,,federation / federal,federasyon / federal,союз / федеральный,союз / федеральний,فدراسیون / فدرال,اتحاد,4,18,"Der Bund ist für dieses Gesetz zuständig, nicht die Länder."
48,B1,12,politische_begriffe,main,Bundeskanzler,der,-,Noun,,,,Federal Chancellor (male),Federal Şansölye (erkek),федеральный канцлер (муж.),федеральний канцлер (чол.),صدراعظم فدرال (مرد),المستشار الفيدرالي,10,18,Der Bundeskanzler hat heute eine wichtige Rede im Parlament gehalten.
49,B1,12,politische_begriffe,main,Bundeskanzlerin,die,-nen,Noun,,,,Federal Chancellor (female),Federal Şansölye (kadın),федеральный канцлер (жен.),федеральний канцлер (жін.),صدراعظم فدرال (زن),المستشارة الفيدرالية,10,18,Die Bundeskanzlerin hat viele wichtige Entscheidungen für das Land getroffen.
50,B1,12,politische_begriffe,main,Bundespräsident,der,-,Noun,,,,Federal President (male),Federal Cumhurbaşkanı (erkek),федеральный президент (муж.),федеральний президент (чол.),رئیس‌جمهور فدرال (مرد),الرئيس الفيدرالي,10,18,Der Bundespräsident empfängt heute ausländische Staatsgäste.
51,B1,12,politische_begriffe,main,Bundespräsidentin,die,-nen,Noun,,,,Federal President (female),Federal Cumhurbaşkanı (kadın),федеральный президент (жен.),федеральний президент (жін.),رئیس‌جمهور فدرال (زن),الرئيسة الفيدرالية,10,18,Die Bundespräsidentin hat eine Rede über Demokratie und Freiheit gehalten.
52,B1,12,politische_begriffe,main,Bürgermeister,der,,Noun,,,,mayor (male),Belediye Başkanı (erkek),мэр (муж.),мер (чол.),شهردار (مرد),عمدة,10,18,Der Bürgermeister hat den neuen Stadtpark feierlich eröffnet.
53,B1,12,politische_begriffe,main,Bürgermeisterin,die,-nendie,Noun,,,,mayor (female),Belediye Başkanı (kadın),мэр (жен.),мер (жін.),شهردار (زن),عمدة المدينة,10,18,Die Bürgermeisterin setzt sich stark für bessere Schulen in der Stadt ein.
54,B1,12,politische_begriffe,main,Ministerin,die,-nen,Noun,,,,minister (female),Bakan (kadın),министр (жен.),міністр (жін.),وزیر (زن),وزيرة,8,18,Die Ministerin hat das neue Bildungsprogramm im Parlament vorgestellt.
55,B1,12,politische_begriffe,main,Parlament,das,das,Noun,,,,parliament,parlamento,парламент,парламент,پارلمان,برلمان,8,18,Das Parlament hat gestern über das neue Steuergesetz abgestimmt.
56,B1,12,politische_begriffe,main,Partei,die,-endie,Noun,,,,party (political),siyasi parti,политическая партия,політична партія,حزب سیاسی,حزب سياسي,7,18,Sie ist seit Jahren aktives Mitglied einer politischen Partei.
57,B1,12,politische_begriffe,main,Staat,der,,Noun,,,,state / country,devlet / ülke,государство / страна,держава / країна,دولت / کشور,دولة,4,18,Der Staat investiert mehr Geld in Bildung und Gesundheit.
58,B1,13,waehrungen,main,Bankwesen,,,Verb,-,1,,banking,bankacılık,банковское дело,банківська справа,بانکداری,مصرفية,8,12,Das Bankwesen hat sich durch die Digitalisierung stark verändert.
59,B1,13,tiere,main,Affe,der,-n,Noun,,,,monkey / ape,maymun,обезьяна,мавпа,میمون,قرد,4,14,Im Zoo haben wir einem Affen beim Klettern zugeschaut.
60,B1,13,tiere,main,Bär,der,-endie,Noun,,,,bear,ayı,медведь,ведмідь,خرس,دب,1,14,Der Bär ist das Wappentier der Hauptstadt Berlin.
61,B1,14,jahreszeiten,main,Frühling,der,,Noun,,,,spring (season),ilkbahar,весна,весна,بهار,ربيع,6,2,Im Frühling blühen überall bunte Blumen in den Parks.
62,B1,14,jahreszeiten,main,Sommer,der,,Noun,,,,summer,yaz,лето,літо,تابستان,صيف,3,2,Im Sommer verbringen wir unsere Ferien am Meer.
63,B1,14,monatsnamen,main,Januar,der,,Noun,,,,January,Ocak,январь,січень,ژانویه,يناير,4,2,Im Januar ist es in Deutschland oft sehr kalt und es schneit.
64,B1,14,monatsnamen,main,Februar,der,,Noun,,,,February,Şubat,февраль,лютий,فوریه,فبراير,7,2,Der Februar ist der kürzeste Monat des Jahres.
65,B1,14,tageszeiten,main,Tag,der,"-e täglich, tagsüber",Noun,,,,day,gün,день,день,روز,يوم,1,1,An diesem Tag war das Wetter besonders schön und sonnig.
66,B1,14,tageszeiten,main,Morgen,der,-;,Noun,,,,morning,sabah,утро,ранок,صبح,صباح,3,2,Am Morgen trinke ich immer eine Tasse Kaffee.
67,B1,14,tageszeiten,main,Mittag,der,,Noun,,,,noon,öğle,полдень,полудень,ظهر,ظهر,4,2,Um Mittag treffen wir uns in der Kantine zum Essen.
68,B1,15,zeitangaben,main,Sekunde,die,-n,Noun,,,,second,saniye,секунда,секунда,ثانیه,ثانية,5,2,"Er brauchte nur eine Sekunde, um die richtige Antwort zu geben."
69,B1,15,zeitangaben,main,Minute,die,-ndie,Noun,,,,minute,dakika,минута,хвилина,دقیقه,دقيقة,3,2,Das Meeting dauert maximal fünfzehn Minuten.
70,B1,15,zeitangaben,main,stündlich,,,Other,,,,hourly,saatlik,ежечасно,щогодини / погодинно,ساعتی / هر ساعت,كل ساعة,8,2,Der Bus fährt stündlich vom Hauptbahnhof ab.
71,B1,15,wochentage,main,Wochentag,der,"-e wochentags, werktags",Noun,,,,weekday,hafta içi günler,день недели,будній день,روز کاری / روز هفته,يوم الأسبوع,8,2,An Wochentagen beginnt mein Arbeitstag um acht Uhr morgens.
72,B1,15,wochentage,main,Wochenende,das,-n am,Noun,,,,weekend,hafta sonu,выходные,вихідні,آخر هفته,نهاية الأسبوع,8,2,Am Wochenende schlafen wir gerne etwas länger.
73,B1,15,wochentage,main,Dienstag,der,,Noun,,,,Tuesday,Salı,вторник,вівторок,سه‌شنبه,الثلاثاء,7,2,Am Dienstag habe ich einen Termin beim Zahnarzt.
74,B1,15,wochentage,main,Mittwoch,der,,Noun,,,,Wednesday,Çarşamba,среда,середа,چهارشنبه,الأربعاء,6,2,Mittwoch ist in unserer Stadt ein Markttag.
75,B1,15,uhrzeit,main,zehn,,,Other,,,,ten,on,десять,десять,ده,عشرة,2,1,Das Kind kann schon bis zehn zählen.
76,B1,15,uhrzeit,main,halb,,,Other,,,,half,yarı,половина,половина,نیم,نصف,2,1,Das Glas ist erst halb voll.
77,B1,16,A,main,Abitur,das,,Noun,,,,Abitur (university entrance exam),Abitur (üniversite giriş sınavı),абитур (экзамен для поступления в вуз),абітур (вступний іспит до вишу),آزمون ورودی دانشگاه,امتحان الثانوية,4,9,Nach dem Abitur möchte sie Medizin studieren.
78,B1,16,A,main,abmachen,,,Verb,macht ab,machte ab,hat abgemacht,to agree / arrange,anlaşmak / planlamak,договариваться / условливаться,домовлятися / узгоджувати,توافق کردن / هماهنگ کردن,يتفق,6,21,"Wir haben abgemacht, uns morgen um drei Uhr zu treffen."
79,B1,16,A,main,abnehmen,,,Verb,nimmt ab,nahm ab,hat abgenommen,to lose weight / take off / decrease,kilo vermek / çıkarmak / azalmak,худеть / снимать / уменьшаться,худнути / знімати / зменшуватися,لاغر شدن / درآوردن / کاهش یافتن,يفقد وزنه,6,21,Er hat im letzten Jahr durch Sport fünf Kilo abgenommen.
80,B1,16,A,main,abonnieren,,,Verb,abonniert,abonnierte,hat abonniert,to subscribe,abone olmak,подписываться,підписуватися,مشترک شدن,يشترك,8,21,"Ich habe den Newsletter abonniert, um keine Angebote zu verpassen."
81,B1,16,A,main,Abonnement,das,-s/-e,Noun,,,,subscription,abonelik,абонемент / подписка,абонемент / підписка,اشتراک / آبونمان,اشتراك,8,13,Das Abonnement für die Zeitung kostet zwanzig Euro im Monat.
82,B1,16,A,main,absagen,,,Verb,sagt ab,sagteab,hat abgesagt,to cancel,iptal etmek,отменять,скасовувати,لغو کردن,يلغي,7,21,"Sie musste das Treffen leider absagen, weil sie krank war."
83,B1,16,A,main,Abschluss,der,¨-e,Noun,,,,completion / qualification / closing,tamamlama / diploma / kapanış,завершение / квалификация / окончание,завершення / кваліфікація / закінчення,تکمیل / مدرک / پایان,إتمام,8,21,Nach dem Abschluss des Studiums hat er eine gute Stelle gefunden.
84,B1,16,A,main,Abschnitt,der,-e,Noun,,,,section / paragraph,bölüm / paragraf,раздел / абзац,розділ / абзац,بخش / پاراگراف,فقرة,8,13,Lesen Sie bitte den zweiten Abschnitt des Textes sorgfältig.
85,B1,16,A,main,Absender,der,-,Noun,,,,sender (male),gönderen (erkek),отправитель (муж.),відправник (чол.),فرستنده (مرد),مرسل,7,13,Ich kann den Absender des Briefes nicht erkennen.
86,B1,16,A,main,Absenderin,die,-nen,Noun,,,,sender (female),gönderen (kadın),отправительница (жен.),відправниця (жін.),فرستنده (زن),مرسلة,8,13,Die Absenderin hat keine Rücksendeadresse auf dem Umschlag angegeben.
87,B1,16,A,main,Absicht,die,-en,Noun,,,,intention / purpose,niyet / amaç,намерение / цель,намір / мета,قصد / هدف,نية,7,21,Es war keine Absicht – das war ein einfaches Versehen.
88,B1,16,A,main,absolut,,,Other,,,,absolute / absolutely,mutlak / kesinlikle,абсолютный / абсолютно,абсолютний / абсолютно,مطلق / کاملاً,مطلق,7,21,Das Ergebnis ist absolut korrekt.
89,B1,16,A,main,abstimmen,,,Verb,stimmt ab,stimmte ab,hat abgestimmt,to vote / coordinate,oy vermek / koordine etmek,голосовать / согласовывать,голосувати / узгоджувати,رأی دادن / هماهنگ کردن,يصوت,8,21,Das Team hat gemeinsam über den neuen Plan abgestimmt.
90,B1,16,A,main,Abteilung,die,-en,Noun,,,,department / section,departman / bölüm,отдел / подразделение,відділ / підрозділ,بخش / دپارتمان,قسم,8,8,Er arbeitet seit drei Jahren in der Personalabteilung.
91,B1,16,A,main,Hausmeister,der,-,Noun,,,,building superintendent / caretaker,bina yöneticisi / bakımcı,дворник / управляющий зданием,двірник / комендант будівлі,سرایدار / متصدی ساختمان,حارس عمارة,9,6,Der Hausmeister hat den Wasserschaden im Keller repariert.
92,B1,16,A,main,Hausmeisterin,die,-nen,Noun,,,,building superintendent / caretaker (female),bina yöneticisi / bakımcı (kadın),управляющая зданием (жен.),двірниця / комендантка будівлі (жін.),سرایدار / متصدی ساختمان (زن),حارسة عمارة,10,6,Die Hausmeisterin kümmert sich um das gesamte Gebäude.
93,B1,16,A,main,abwärts,,,Other,,,,downward,aşağıya doğru,вниз,вниз / донизу,رو به پایین,للأسفل,7,21,Die Wirtschaft geht derzeit stark abwärts.
94,B1,16,A,main,abwaschen,,,Verb,wäscht ab,wusch ab,hat abgewaschen,to wash up,bulaşık yıkamak,мыть посуду,мити посуд,ظرف شستن,يغسل الأطباق,8,21,Nach dem Abendessen habe ich das Geschirr abgewaschen.
95,B1,16,A,main,abwesend,,,Other,,,,absent,devamsız,отсутствующий,відсутній,غایب,غائب,7,21,Er war heute aus Krankheitsgründen abwesend.
96,B1,16,A,main,achten,,,Verb,achtet,achtete,hat geachtet,to pay attention to / respect,dikkat etmek / saygı duymak,обращать внимание / уважать,звертати увагу / поважати,توجه کردن به / احترام گذاشتن,يحترم,4,21,Du solltest mehr auf deine Gesundheit achten.
97,B1,16,A,main,ab,,,Other,,,,off / away (prefix),-den / ayrı (ön ek),от,від / геть (префікс),جدا / دور-,بعيداً,1,21,Der Zug fährt in fünf Minuten ab – beeil dich!
98,B1,16,A,main,abbiegen,,,Verb,biegt ab,bog ab,ist abgebogen,to turn off / turn,dönmek,сворачивать,звертати,پیچیدن / منحرف شدن,يتجه,7,11,An der zweiten Kreuzung bitte rechts abbiegen.
99,B1,16,A,main,Abbildung,die,-en,Noun,,,,illustration / figure,illüstrasyon / şekil,иллюстрация / рисунок,ілюстрація / рисунок,تصویر / شکل,رسم توضيحي,8,21,Schauen Sie sich die Abbildung auf Seite zwölf genau an.
100,B1,16,A,main,Abenteuer,das,-,Noun,,,,adventure,macera,приключение,пригода,ماجراجویی,مغامرة,8,10,Die Reise durch Südamerika war ein echtes Abenteuer.
101,B1,16,A,main,aber,,,Other,,,,but / however,ama / ancak,но,але / проте,اما / با این حال,لكن,2,21,"Das Wetter war schlecht, aber wir haben trotzdem viel Spaß gehabt."
102,B1,16,A,main,abfahren,,,Verb,fährt ab,fuhr ab,ist abgefahren,to depart / drive off,ayrılmak / yola çıkmak,отправляться,від'їжджати / відправлятися,حرکت کردن / راه افتادن,يغادر,6,11,Unser Zug fährt um acht Uhr dreißig ab.
103,B1,16,A,main,Abfahrt,die,-en,Noun,,,,departure,kalkış,отправление,відправлення / від'їзд,حرکت / عزیمت,مغادرة,5,11,Die Abfahrt des Busses ist um neun Uhr vom Hauptbahnhof.
104,B1,16,A,main,Abfall,der,¨-e,Noun,,,,waste / rubbish,atık / çöp,мусор / отходы,сміття / відходи,زباله / پسماند,نفايات,4,6,Bitte werfen Sie den Abfall in den Mülleimer und nicht auf die Straße.
105,B1,16,A,main,Abfalleimer,der,-,Noun,,,,rubbish bin / trash can,çöp kutusu,мусорное ведро,смітник / відро для сміття,سطل زباله,سلة مهملات,9,6,Der Abfalleimer in der Küche ist voll und muss geleert werden.
106,B1,16,A,main,abhängen,,,Verb,hängt ab,hing,hat abgehangen,to depend on / take down,bağlı olmak / indirmek,зависеть от / снимать,залежати від / знімати,بستگی داشتن به / پایین آوردن,يعتمد على,6,21,Der Erfolg des Projekts hängt von der guten Vorbereitung ab.
107,B1,16,A,main,abhängig,,,Other,,,,dependent / addicted,bağımlı,зависимый / зависимый от чего-то,залежний,وابسته / معتاد,معتمد,7,21,Manche Menschen sind sehr abhängig von ihrem Smartphone.
108,B1,16,A,main,abheben,,,Verb,hebt ab,hob ab,hat abgehoben,to withdraw (money) / lift off,para çekmek / havalanmak,снимать деньги / взлетать,знімати гроші / злітати,پول برداشت کردن / بلند شدن,يسحب,5,21,Ich muss heute noch Geld am Automaten abheben.
109,B1,16,A,main,abholen,,,Verb,holt ab,holte ab,hat abgeholt,to pick up / collect,almak / toplamak,забрать,забирати,برداشتن / تحویل گرفتن,يستلم,5,21,Kannst du mich bitte um drei Uhr vom Bahnhof abholen?
110,B1,16,H,main,Hausaufgaben,die,,Noun,,,,homework,ev ödevi,домашнее задание,домашнє завдання,تکلیف خانه,واجب منزلي,10,9,"Sie macht jeden Tag ihre Hausaufgaben, bevor sie fernsieht."
111,B1,16,G,main,gemacht,,,Other,,,,done / made,yapılmış,сделанный / готово,зроблений / готово,انجام‌شده,منجز,5,21,Er hat seine Aufgaben schon gemacht und kann jetzt spielen.
112,B1,16,A,main,abgelehnt,,,Other,,,,rejected,reddedildi,отклонённый / отвергнутый,відхилений / відкинутий,ردشده,مرفوض,8,21,Sein Antrag auf ein Visum wurde leider abgelehnt.
113,B1,16,G,main,Getränke,die,,Noun,,,,drinks / beverages,içecekler,напитки,напої,نوشیدنی‌ها,مشروبات,6,5,Bei der Feier gab es viele verschiedene Getränke zur Auswahl.
114,B1,16,A,main,abnehmen,,,Verb,,,,to lose weight / decrease,kilo vermek / azalmak,худеть / уменьшаться,худнути / зменшуватися,لاغر شدن / کاهش یافتن,يفقد وزنه,6,21,Sie möchte abnehmen und geht jetzt zweimal pro Woche ins Fitnessstudio.
115,B1,16,W,main,weil,,,Other,,,,because,çünkü,потому что,тому що,چون,لأن,2,21,"Ich bin müde, weil ich letzte Nacht nicht gut geschlafen habe."
116,B1,16,W,main,wichtig,,,Other,,,,important,önemli,важный,важливий,مهم,مهم,5,21,"Es ist wichtig, jeden Tag genug Wasser zu trinken."
117,B1,16,A,main,abwesend,,,Other,,,,absent,devamsız,отсутствующий,відсутній,غایب,غائب,7,21,"Die Schülerin war bei der Prüfung abwesend, weil sie krank war."
118,B1,16,A,main,abschließen,,,Verb,wenn,,,to lock / conclude / complete,kilitlemek / tamamlamak / sonuçlandırmak,запирать / завершать,замикати / завершувати,قفل کردن / به پایان رساندن / کامل کردن,يغلق,9,21,"Vergiss nicht, die Haustür abzuschließen, wenn du das Haus verlässt."
119,B1,16,G,main,Gerät,das,,Noun,,,,device / appliance,cihaz / alet,прибор / устройство,пристрій / прилад,دستگاه / وسیله,جهاز,3,17,"Dieses Gerät hilft mir dabei, die Raumtemperatur zu regulieren."
120,B1,16,T,main,teure Geschichten,,,Verb,,,,expensive stories,,дорогие истории,дорогі історії,داستان‌های گران,قصص مكلفة,10,21,"Er erzählt immer teure Geschichten, die kaum jemand glauben kann."
121,B1,16,G,main,ganz,,,Other,,,,whole / completely,tüm / tamamen,целый / полностью,цілий / повністю,کامل / کاملاً,كامل,2,21,"Ich bin ganz sicher, dass er heute noch kommt."
122,B1,16,T,main,trotzdem,,,Other,,,,nevertheless / anyway,yine de,тем не менее / всё равно,тим не менше / все одно,با این حال / به هر حال,مع ذلك,6,21,"Es hat geregnet, trotzdem sind wir spazieren gegangen."
123,B1,16,S,main,sind,,,Other,,,,are,-dir,есть / являются,є / являються,هستند,هم,2,21,"Wir sind heute früh aufgestanden, weil wir einen langen Tag hatten."
124,B1,16,G,main,gehen,,,Verb,,,,to go,gitmek,идти / ехать,іти / їхати,رفتن,يذهب,1,21,Wir gehen heute Abend zusammen ins Restaurant.
125,B1,16,L,main,leider,,,Other,,,,unfortunately,ne yazık ki,к сожалению,на жаль,متأسفانه,للأسف,4,21,Leider kann ich heute nicht zu deiner Party kommen.
126,B1,16,B,main,bis,,,Other,,,,until / by,-e kadar,до / к,до / до (часу),تا,حتى,1,21,"Ich warte hier, bis du von der Arbeit zurückkommst."
