id,level,source_page,section,entry_type,word,article,plural,word_type,translation_en
109,A1,8,laender,main,Europa,,,Noun,Europe
110,A1,8,laender,sub,Europäer,der,,Noun,European
111,A1,8,laender,sub,europäisch,,,Adjective,European
112,A1,8,farben,section_title,Farbe,die,-n,Noun,color
113,A1,8,farben,main,schwarz,,,Adjective,black
114,A1,8,farben,main,grau,,,Adjective,gray
115,A1,8,farben,main,blau,,,Adjective,blue
116,A1,8,farben,main,grün,,,Adjective,green
117,A1,8,farben,main,weiß,,,Adjective,white
118,A1,8,farben,main,rot,,,Adjective,red
119,A1,8,farben,main,gelb,,,Adjective,yellow
120,A1,8,farben,main,braun,,,Adjective,brown
121,A1,8,himmelsrichtungen,section_title,Himmelsrichtung,die,-en,Noun,compass direction
122,A1,8,himmelsrichtungen,main,Norden,der,,Noun,north
123,A1,8,himmelsrichtungen,main,Süden,der,,Noun,south
124,A1,8,himmelsrichtungen,main,Westen,der,,Noun,west
125,A1,8,himmelsrichtungen,main,Osten,der,,Noun,east
126,A1,9,A,main,ab,,,Other,from / off
127,A1,9,A,main,aber,,,Other,but
128,A1,9,A,main,abfahren,,,Verb,to depart
129,A1,9,A,sub,Abfahrt,die,,Noun,departure
130,A1,9,A,main,abgeben,,,Verb,to hand in
131,A1,9,A,main,abholen,,,Verb,to pick up
132,A1,9,A,main,Absender,der,,Noun,sender
133,A1,9,A,main,Achtung,,,Other,attention / caution
134,A1,9,A,main,Adresse,die,-en,Noun,address
135,A1,9,A,main,all-,,,Other,all- (prefix)
136,A1,9,A,main,allein,,,Other,alone
137,A1,9,A,main,also,,,Other,so / therefore
138,A1,9,A,main,alt,,,Other,old
139,A1,9,A,main,Alter,das,,Noun,age
140,A1,9,A,main,an,,,Other,at / on / to
141,A1,9,A,main,anbieten,,,Verb,to offer
142,A1,9,A,sub,Angebot,das,-e,Noun,offer
143,A1,9,A,main,ander-,,,Other,other- (prefix)
144,A1,9,A,main,anfangen,,,Verb,to begin
145,A1,9,A,sub,Anfang,der,,Noun,beginning
146,A1,9,A,main,anklicken,,,Verb,to click on
147,A1,9,A,main,ankommen,,,Verb,to arrive
148,A1,9,A,main,Ankunft,die,,Noun,arrival
149,A1,9,A,main,ankreuzen,,,Verb,to check / tick
150,A1,9,A,main,anmachen,,,Verb,to switch on
151,A1,9,A,main,anmelden,,,Verb,to register / log in
152,A1,9,A,main,Anrede,die,,Noun,salutation / form of address
153,A1,9,A,main,anrufen,,,Verb,to call / phone
154,A1,9,A,main,Anruf,der,-e,Noun,phone call
155,A1,9,A,sub,Anruf-,der,,Noun,phone call (compound prefix)
156,A1,10,A,main,Ansage,die,-n,Noun,announcement
157,A1,10,A,main,Anschluss,der,,Noun,connection
158,A1,10,A,main,an sein,,,Other,to be on
159,A1,10,A,main,antworten,,,Verb,to answer
160,A1,10,A,sub,Antwort,die,-en,Noun,answer
161,A1,10,A,main,Anzeige,die,-n,Noun,advertisement / notice
162,A1,10,A,main,anziehen,,,Verb,to put on (clothes)
163,A1,10,A,main,Apartment,das,-s,Noun,apartment
164,A1,10,A,main,Apfel,der,,Noun,apple
165,A1,10,A,main,Appetit,der,,Noun,appetite
166,A1,10,A,main,arbeiten,,,Verb,to work
167,A1,10,A,sub,Arbeit,die,-en,Noun,work / job
168,A1,10,A,main,arbeitslos,,,Other,unemployed
169,A1,10,A,main,Arbeitsplatz,der,"-ä, e",Noun,workplace
170,A1,10,A,main,Arm,der,-e,Noun,arm
171,A1,10,A,main,Arzt,der,,Noun,doctor
172,A1,10,A,main,auch,,,Other,also / too
173,A1,10,A,main,auf,,,Other,on / onto
174,A1,10,A,main,Aufgabe,die,-n,Noun,task / exercise
175,A1,10,A,main,aufhören,,,Verb,to stop / quit
176,A1,10,A,main,auf sein,,,Other,to be open / awake
177,A1,10,A,main,aufstehen,,,Verb,to get up
178,A1,10,A,main,Aufzug,der,"-ü, e",Noun,elevator / lift
179,A1,10,A,main,Auge,das,-n,Noun,eye
180,A1,10,A,main,aus,,,Other,from / out of
181,A1,10,A,main,Ausflug,der,,Noun,excursion / day trip
182,A1,10,A,main,ausfüllen,,,Verb,to fill in
183,A1,10,A,main,Ausgang,der,,Noun,exit
184,A1,10,A,main,Auskunft,die,"-ü, e",Noun,information
185,A1,10,A,main,Ausland,das,,Noun,abroad
186,A1,10,A,sub,Ausländer,der,-,Noun,foreigner
187,A1,10,A,sub,ausländisch,,,Other,foreign
188,A1,10,A,main,ausmachen,,,Verb,to switch off
189,A1,10,A,main,Aussage,die,-n,Noun,statement
190,A1,10,A,main,aussehen,,,Verb,to look / appear
191,A1,10,A,main,aus sein,,,Other,to be off / finished
192,A1,10,A,main,aussteigen,,,Verb,to get off (vehicle)
193,A1,10,A,main,Ausweis,der,,Noun,ID card
194,A1,10,A,main,ausziehen,,,Verb,to move out / take off (clothes)
195,A1,10,A,main,Autobahn,die,-en,Noun,highway / motorway
196,A1,10,A,main,Automat,der,,Noun,vending machine
197,A1,10,A,main,automatisch,,,Other,automatic
198,A1,11,B,main,Baby,das,-s,Noun,baby
199,A1,11,B,main,Bäckerei,die,,Noun,bakery
200,A1,11,B,main,Bad,das,,Noun,bathroom
201,A1,11,B,main,baden,,,Verb,to bathe
202,A1,11,B,main,Bahn,die,,Noun,train / railway
203,A1,11,B,main,Bahnhof,der,,Noun,train station
204,A1,11,B,main,Bahnsteig,der,,Noun,platform
205,A1,11,B,main,bald,,,Other,soon
206,A1,11,B,main,Balkon,der,,Noun,balcony
207,A1,11,B,main,Banane,die,-n,Noun,banana
208,A1,11,B,main,Bank,die,,Noun,bank
209,A1,11,B,main,bar,,,Other,cash
210,A1,11,B,main,Bauch,der,,Noun,stomach / belly
211,A1,11,B,main,Baum,der,"-ä, e",Noun,tree
212,A1,11,B,main,Beamte,der,-n,Noun,civil servant
213,A1,11,B,main,bedeuten,,,Verb,to mean
214,A1,11,B,main,beginnen,,,Verb,to begin
215,A1,11,B,main,bei,,,Other,at / near / with
216,A1,11,B,main,beide,,,Other,both
217,A1,11,B,main,Bein,das,-e,Noun,leg
218,A1,11,B,main,Beispiel,das,-e,Noun,example
219,A1,11,B,main,bekannt,,,Other,known / familiar
220,A1,11,D,main,der/die,,,Other,the (m/f)
221,A1,11,B,main,bekommen,,,Verb,to get / receive
222,A1,11,B,main,benutzen,,,Verb,to use
223,A1,11,B,main,Beruf,der,-e,Noun,profession / occupation
224,A1,11,B,main,besetzt,,,Other,occupied / busy
225,A1,11,B,main,besichtigen,,,Verb,to visit (a sight)
226,A1,11,B,main,besser,,,Other,better
227,A1,11,B,main,best-,,,Other,best- (prefix)
228,A1,11,B,main,bestellen,,,Verb,to order
229,A1,11,B,main,besuchen,,,Verb,to visit
230,A1,11,B,main,Bett,das,-en,Noun,bed
231,A1,11,B,main,bezahlen,,,Verb,to pay
232,A1,11,B,main,Bier,das,,Noun,beer
233,A1,11,B,main,Bild,das,-er,Noun,picture / image
234,A1,11,B,main,billig,,,Other,cheap
235,A1,12,B,main,Birne,die,-n,Noun,pear
236,A1,12,B,main,bis,,,Other,until / to
237,A1,12,B,main,bisschen,,,Verb,a little
238,A1,12,B,main,bitte,,,Other,please / you're welcome
239,A1,12,B,sub,Bitte,die,-n,Noun,request
240,A1,12,B,sub,bitten,,,Verb,to ask / request
241,A1,12,B,main,bitter,,,Other,bitter
242,A1,12,B,main,bleiben,,,Verb,to stay / remain
243,A1,12,B,main,Bleistift,der,-e,Noun,pencil
244,A1,12,B,main,Blick,der,,Noun,look / glance / view
245,A1,12,B,main,Blume,die,-n,Noun,flower
246,A1,12,B,main,Bogen,der,,Noun,sheet (of paper)
247,A1,12,B,main,böse,,,Other,angry / evil
248,A1,12,B,main,brauchen,,,Verb,to need
249,A1,12,B,main,breit,,,Other,wide / broad
250,A1,12,B,main,Brief,der,-e,Noun,letter
251,A1,12,B,main,Briefmarke,die,-n,Noun,stamp
252,A1,12,B,main,bringen,,,Verb,to bring
253,A1,12,B,main,Brot,das,-e,Noun,bread
254,A1,12,B,main,Brötchen,das,–,Noun,bread roll
255,A1,12,B,main,Bruder,der,-ü,Noun,brother
256,A1,12,B,main,Buch,das,"-ü, er",Noun,book
257,A1,12,B,main,Buchstabe,der,-n,Noun,letter (of the alphabet)
258,A1,12,B,main,buchstabieren,,,Verb,to spell
259,A1,12,B,main,Bus,der,-se,Noun,bus
260,A1,12,B,main,Butter,die,,Noun,butter
261,A1,12,C,main,Café,das,-s,Noun,café
262,A1,12,C,main,CD,die,-s,Noun,CD
263,A1,12,C,main,Chef,der,,Noun,boss / manager
264,A1,12,C,main,circa/ca.,,,Other,approximately
265,A1,12,C,main,Computer,der,–,Noun,computer
266,A1,12,D,main,da,,,Other,there / then
267,A1,12,D,main,Dame,die,-n,Noun,lady
268,A1,13,D,main,daneben,,,Verb,next to it
269,A1,13,D,main,danken,,,Verb,to thank
270,A1,13,D,sub,Dank,der,,Noun,thanks / gratitude
271,A1,13,D,sub,danke,,,Other,thank you
272,A1,13,D,main,dann,,,Other,then
273,A1,13,D,main,Datum,das,,Noun,date
274,A1,13,D,main,dauern,,,Verb,to last / take (time)
275,A1,13,D,main,dein-,,,Other,your- (informal prefix)
276,A1,13,D,main,denn,,,Other,because / for
277,A1,13,D,main,dich,,,Other,"you (accusative, informal)"
278,A1,13,D,main,dies-,,,Other,this- (prefix)
279,A1,13,D,main,dir,,,Other,"you (dative, informal)"
280,A1,13,D,main,Disco,die,,Noun,disco / club
281,A1,13,D,main,Doktor,der,,Noun,doctor
282,A1,13,D,main,Doppelzimmer,das,,Noun,double room
283,A1,13,D,main,Dorf,das,"-ö, er",Noun,village
284,A1,13,D,main,draußen,,,Verb,outside
285,A1,13,D,main,drucken,,,Verb,to print
286,A1,13,D,sub,Drucker,der,–,Noun,printer
287,A1,13,D,main,drücken,,,Verb,to press / push
288,A1,13,D,main,durch,,,Other,through / by
289,A1,13,D,main,Durchsage,die,-n,Noun,announcement (loudspeaker)
290,A1,13,D,main,dürfen,,,Verb,may / to be allowed to
291,A1,13,D,main,Durst,der,,Noun,thirst
292,A1,13,D,main,duschen,,,Verb,to shower
293,A1,13,E,main,Ecke,die,-n,Noun,corner
294,A1,13,E,main,Ehefrau,die,-en/,Noun,wife
295,A1,13,E,main,Ehemann,der,"ä, er",Noun,husband
296,A1,13,E,main,Ei,das,-er,Noun,egg
297,A1,13,E,main,eilig,,,Other,urgent / in a hurry
298,A1,13,E,main,ein-,,,Other,a / one (prefix)
299,A1,13,E,main,einfach,,,Other,simple / one-way
300,A1,13,E,main,Eingang,der,,Noun,entrance
301,A1,13,E,main,einkaufen,,,Verb,to go shopping
302,A1,13,E,main,einladen,,,Verb,to invite
303,A1,13,E,sub,Einladung,die,,Noun,invitation
304,A1,14,E,main,einmal,,,Other,once
305,A1,14,E,main,einsteigen,,,Verb,to board (vehicle)
306,A1,14,E,main,Eintritt,der,,Noun,admission / entry
307,A1,14,E,main,Einzelzimmer,das,,Noun,single room
308,A1,14,E,main,Eltern,die,,Noun,parents
309,A1,14,E,main,E-Mail,die,-s,Noun,email
310,A1,14,E,main,Empfänger,der,–,Noun,recipient
311,A1,14,E,main,empfehlen,,,Verb,to recommend
312,A1,14,E,main,enden,,,Verb,to end
313,A1,14,E,sub,Ende,das,,Noun,end
314,A1,14,E,main,entschuldigen,,,Verb,to excuse / apologize
315,A1,14,E,sub,Entschuldigung,die,,Noun,excuse me / apology
316,A1,14,E,main,er,,,Other,he
317,A1,14,E,main,Ergebnis,das,-se,Noun,result
318,A1,14,E,main,erklären,,,Verb,to explain
319,A1,14,E,main,erlauben,,,Verb,to allow / permit
320,A1,14,E,main,Erwachsene,der,-n,Noun,adult
321,A1,14,E,main,erzählen,,,Verb,to tell / narrate
322,A1,14,E,main,es,,,Other,it
323,A1,14,E,main,essen,,,Verb,to eat
324,A1,14,E,sub,Essen,das,,Noun,food / meal
325,A1,14,E,main,euer,,,Other,your (informal plural)
326,A1,14,F,main,fahren,,,Verb,to drive / travel
327,A1,14,F,sub,Fahrer,der,,Noun,driver
328,A1,14,F,main,Fahrkarte,die,-n,Noun,travel ticket
329,A1,14,F,main,Fahrrad,das,"-ä, er",Noun,bicycle
330,A1,14,F,main,falsch,,,Other,wrong / false
331,A1,14,F,main,Familie,die,-n,Noun,family
332,A1,14,F,sub,Familienname,der,,Noun,surname / last name
333,A1,14,F,sub,Familienstand,der,,Noun,marital status
334,A1,14,F,main,Farbe,die,-n,Noun,color
335,A1,14,F,main,Fax,das,-e,Noun,fax
336,A1,14,F,main,feiern,,,Verb,to celebrate
337,A1,14,F,main,fehlen,,,Verb,to be missing
338,A1,14,F,main,Fehler,der,–,Noun,mistake / error
339,A1,14,F,main,fernsehen,,,Verb,to watch TV
340,A1,14,F,main,fertig,,,Other,ready / done / finished
341,A1,14,F,main,Feuer,das,,Noun,fire
342,A1,14,F,main,Fieber,das,,Noun,fever
343,A1,14,F,main,Film,der,-e,Noun,film / movie
344,A1,14,F,main,finden,,,Verb,to find
345,A1,14,F,main,Firma,die,,Noun,company / firm
346,A1,14,F,main,Fisch,der,-e,Noun,fish
347,A1,15,F,main,Flasche,die,-n,Noun,bottle
348,A1,15,F,main,Fleisch,das,,Noun,meat
349,A1,15,F,main,fliegen,,,Verb,to fly
350,A1,15,A,sub,abfliegen,,,Verb,to take off (plane)
351,A1,15,F,main,Flughafen,der,,Noun,airport
352,A1,15,F,main,Flugzeug,das,,Noun,airplane
353,A1,15,F,main,Formular,das,-e,Noun,form
354,A1,15,F,main,Foto,das,-s,Noun,photo
355,A1,15,F,main,fragen,,,Verb,to ask
356,A1,15,F,sub,Frage,die,-n,Noun,question
357,A1,15,F,main,Frau,die,-en,Noun,woman / Mrs.
358,A1,15,F,main,frei,,,Other,free / available
359,A1,15,F,main,Freizeit,die,,Noun,free time / leisure
360,A1,15,F,main,fremd,,,Other,foreign / unfamiliar
361,A1,15,F,main,freuen,,,Verb,to be happy / look forward
362,A1,15,F,main,Freund,der,-e,Noun,friend / boyfriend
363,A1,15,F,main,früher,,,Other,earlier / formerly
364,A1,15,F,main,frühstücken,,,Verb,to have breakfast
365,A1,15,F,sub,Frühstück,das,,Noun,breakfast
366,A1,15,F,main,Führung,die,,Noun,guided tour
367,A1,15,F,main,für,,,Other,for
368,A1,15,F,main,Fuß,der,"-ü, e",Noun,foot
369,A1,15,F,main,Fußball,der,,Noun,football / soccer
370,A1,15,G,main,Garten,der,,Noun,garden
371,A1,15,G,main,Gast,der,"-ä, e",Noun,guest
372,A1,15,G,main,geben,,,Verb,to give
373,A1,15,G,main,geboren,,,Verb,born
374,A1,15,G,main,Geburtsjahr,das,,Noun,year of birth
375,A1,15,G,main,Geburtstag,der,,Noun,birthday
376,A1,15,G,main,gefallen,,,Verb,to like / please
377,A1,15,G,main,gegen,,,Verb,against / around (time)
378,A1,15,G,main,gehen,,,Verb,to go / walk
379,A1,15,G,main,gehören,,,Verb,to belong to
380,A1,15,G,main,Geld,das,,Noun,money
381,A1,15,G,main,Gemüse,das,,Noun,vegetables
382,A1,16,G,main,Gepäck,das,,Noun,luggage
383,A1,16,G,main,gerade,,,Other,just / straight / right now
384,A1,16,G,main,geradeaus,,,Other,straight ahead
385,A1,16,G,main,gern(e),,,Other,gladly / like to
386,A1,16,G,main,Geschäft,das,-e,Noun,shop / store
387,A1,16,G,main,Geschenk,das,-e,Noun,gift / present
388,A1,16,G,main,Geschwister,die,,Noun,siblings
389,A1,16,G,main,gestern,,,Verb,yesterday
390,A1,16,G,main,gestorben,,,Verb,died / deceased
391,A1,16,G,main,Getränk,das,-e,Noun,drink / beverage
392,A1,16,G,main,Gewicht,das,,Noun,weight
393,A1,16,G,main,gewinnen,,,Verb,to win
394,A1,16,G,main,Glas,das,"-ä, er",Noun,glass
395,A1,16,G,main,glauben,,,Verb,to believe / think
396,A1,16,G,main,gleich,,,Other,same / immediately
397,A1,16,G,main,Gleis,das,-e,Noun,track / platform
398,A1,16,G,main,Glück,das,,Noun,luck / happiness
399,A1,16,G,main,glücklich,,,Other,happy / lucky
400,A1,16,G,main,Glückwunsch,der,,Noun,congratulations
401,A1,16,G,main,grillen,,,Verb,to grill / barbecue
402,A1,16,G,main,groß,,,Other,big / tall
403,A1,16,G,sub,Größe,die,,Noun,size / height
404,A1,16,G,main,Großeltern,die,,Noun,grandparents
405,A1,16,G,sub,Großmutter,die,,Noun,grandmother
406,A1,16,G,sub,Großvater,der,,Noun,grandfather
407,A1,16,G,main,Gruppe,die,-n,Noun,group
408,A1,16,G,main,Gruß,der,"-ü, e",Noun,greeting
409,A1,16,G,main,gültig,,,Other,valid
410,A1,16,G,main,günstig,,,Other,cheap / favorable
411,A1,16,G,main,gut,,,Other,good
412,A1,16,H,main,Haar,das,-e,Noun,hair
413,A1,16,H,main,haben,,,Verb,to have
414,A1,16,H,main,Hähnchen,das,-,Noun,chicken
415,A1,16,H,main,Halbpension,die,,Noun,half board
416,A1,16,H,main,Halle,die,,Noun,hall
417,A1,16,H,main,hallo,,,Other,hello
418,A1,17,H,main,halten,,,Verb,to hold / stop
419,A1,17,H,main,Haltestelle,die,,Noun,stop (bus / tram)
420,A1,17,H,main,Hand,die,"-ä, e",Noun,hand
421,A1,17,H,main,Handy,das,-s,Noun,mobile phone
422,A1,17,H,main,Haus,das,"-ä, er",Noun,house
423,A1,17,H,main,Hausaufgabe,die,-n,Noun,homework
424,A1,17,H,main,Hausfrau,die,-en/,Noun,housewife
425,A1,17,H,main,Heimat,die,,Noun,home / homeland
426,A1,17,H,main,heiraten,,,Verb,to marry
427,A1,17,H,main,heißen,,,Verb,to be called / named
428,A1,17,H,main,helfen,,,Verb,to help
429,A1,17,H,main,hell,,,Other,bright / light
430,A1,17,H,main,Herd,der,,Noun,stove / cooker
431,A1,17,H,main,Herr,der,-en,Noun,Mr. / gentleman
432,A1,17,H,main,herzlich,,,Other,heartfelt / warm
433,A1,17,H,main,heute,,,Other,today
434,A1,17,H,main,hier,,,Other,here
435,A1,17,H,main,Hilfe,die,,Noun,help / assistance
436,A1,17,H,main,hinten,,,Verb,at the back / behind
437,A1,17,H,main,Hobby,das,-s,Noun,hobby
438,A1,17,H,main,hoch,,,Other,high / tall
439,A1,17,H,main,Hochzeit,die,,Noun,wedding
440,A1,17,H,main,holen,,,Verb,to fetch / get
441,A1,17,H,main,hören,,,Verb,to hear / listen
442,A1,17,H,main,Hotel,das,-s,Noun,hotel
443,A1,17,H,main,Hund,der,-e,Noun,dog
444,A1,17,H,main,Hunger,der,,Noun,hunger
445,A1,17,I,main,ich,,,Other,I
446,A1,17,I,main,ihr/ihm/ihn,,,Other,her / him (pronoun forms)
447,A1,17,I,main,immer,,,Other,always
448,A1,17,I,main,in,,,Other,in / into
449,A1,17,I,main,Information,die,-en,Noun,information
450,A1,17,I,main,international,,,Other,international
451,A1,17,I,main,Internet,das,,Noun,internet
452,A1,18,J,main,ja,,,Other,yes
453,A1,18,J,main,Jacke,die,-n,Noun,jacket
454,A1,18,J,main,jed-,,,Other,every- / each- (prefix)
455,A1,18,J,main,jetzt,,,Other,now
456,A1,18,J,main,Job,der,-s,Noun,job
457,A1,18,J,main,Jugendliche,der,-n,Noun,young person / teenager
458,A1,18,J,main,jung,,,Other,young
459,A1,18,J,main,Junge,der,-n,Noun,boy
460,A1,18,K,main,Kaffee,der,,Noun,coffee
461,A1,18,K,main,kaputt,,,Other,broken / out of order
462,A1,18,K,main,Karte,die,-n,Noun,card / map / ticket
463,A1,18,K,main,Kartoffel,die,-n,Noun,potato
464,A1,18,K,main,Kasse,die,,Noun,checkout / cash register
465,A1,18,K,main,kaufen,,,Verb,to buy
466,A1,18,K,main,kein,,,Other,no / not any
467,A1,18,K,main,kennen,,,Verb,to know (a person or place)
468,A1,18,K,sub,kennenlernen,,,Verb,to get to know / meet
469,A1,18,K,main,Kind,das,-er,Noun,child
470,A1,18,K,main,Kindergarten,der,,Noun,kindergarten
471,A1,18,K,main,Kino,das,-s,Noun,cinema
472,A1,18,K,main,Kiosk,der,,Noun,kiosk / newsstand
473,A1,18,K,main,klar,,,Other,clear
474,A1,18,K,main,Klasse,die,,Noun,class / grade
475,A1,18,K,main,Kleidung,die,,Noun,clothing
476,A1,18,K,main,klein,,,Other,small / little
477,A1,18,K,main,kochen,,,Verb,to cook
478,A1,18,K,main,Koffer,der,–,Noun,suitcase
479,A1,18,K,main,Kollege,der,-n,Noun,colleague / coworker
480,A1,18,K,main,kommen,,,Verb,to come
481,A1,18,K,main,können,,,Verb,can / to be able to
482,A1,18,K,main,Konto,das,,Noun,bank account
483,A1,18,K,main,Kopf,der,,Noun,head
484,A1,18,K,main,kosten,,,Verb,to cost
485,A1,18,K,main,krank,,,Other,sick / ill
486,A1,18,K,main,kriegen,,,Verb,to get / receive (colloquial)
487,A1,18,K,main,Küche,die,,Noun,kitchen
488,A1,18,K,main,Kuchen,der,,Noun,cake
489,A1,19,K,main,Kugelschreiber,der,,Noun,ballpoint pen
490,A1,19,K,main,Kühlschrank,der,,Noun,refrigerator
491,A1,19,K,main,kulturell,,,Other,cultural
492,A1,19,K,main,Kunde,der,-n,Noun,customer
493,A1,19,K,main,Kurs,der,-e,Noun,course / class
494,A1,19,K,main,kurz,,,Other,short / brief
495,A1,19,L,main,lachen,,,Verb,to laugh
496,A1,19,L,main,Laden,der,-ä,Noun,shop / store
497,A1,19,L,main,Land,das,"-ä, er",Noun,country / land
